,company,job,title,question,answer
0,카닥,IT/웹/통신,"면접은 1,2차로 진행됐고, 1차 때는 비대면 2차 때는 대면으로 진행됨. 밝은 분위기로 진행되었고 좋았음.""",플랫폼을 통해 과제를 제출한 후 면접전형으로 이어졌는데 과제 풀이 과정과 왜 그렇게 했는지 질문함.,"과정에 대해서 물어보고 그에 대한 생각을 물어보는 것을 보니, 문제해결을 해낼 줄 아는 사람을 뽑으려는구나 생각하게 됨."
1,(주)티웨이브 역삼점,IT/웹/통신,"편한 분위기, 기본 cs 질문 대체적으로 쉬운 면접이였습니다.""",크게 어려운 질문은 없었고 전체적으로 무난한 질문들이라서 개발 어느 정도 했으면 쉽게 합격 가능합니다.,면접만으로는 개발자들의 실력을 파악하기는 어려울거 같아서 더 수준 높은 질문이 필요해보임
2,(주)바잉스퀘어,IT/웹/통신,"헤드헌터 연락으로 면접을 보게됨. 기술적인 내용을 심도있게 물어보지는 않았음, 1차 면접 후 2차 면접까지 봤으나 최종 오퍼 거절""","이직 준비 이유
JVM 관련 질문
개발자 스터디 질문","2차 면접 때 CEO와 면접을 봄. 전형적인 중소기업 CEO 마인드를 가졌고, 느낌 싸해서 결국 최종 오퍼 거절함"
3,(유)미소,IT/웹/통신,"도착해서 연락하고 시작
자기소개 및 지원동기 등 설명 직무 역량 조사를 위한 질문들 실행""",면접때 긴장이 너무 많이 되어서 기억에 남는 질문이 어떤게 있었는지 모르겠음,면접 분위기가 생각보다 딱딱해서 힘들었고 난이도가 낮진 않은 것 같음
4,(주)페이히어,IT/웹/통신,"합격 결과는 메일로 안내받고 면접을 진행함
1,2차로 진행했는데 질문들이 많이 겹쳤음""","이전 회사에서 업무를 하면서 해낸 성과가 있는지
성격의 장단점
이 직종에서의 최종 목표가 뭔지","1시간 다 채워서 면접을 진행한게 되게 피로했음. 1시간동안 중복되는 질문이 있었고 1차, 2차면접 모두 직무에 관한 질문이 아니라 성향이나 미래목표에 관한 질문이였음. 중요도나 이런 질문들은 수치나 비율로 답변하는게 많았음."
5,(주)현대벤디스,IT/웹/통신,"인터넷 지원 후 일주일 후 면접제안 연락""",자기소개 / 그동안의 경험 / 이력서에서 궁금한 점 질문,"2대 1로 면접 진행하였고, 면접 진행 전 인사팀장님이 간단한 회사 소개 진행. 합격여부를 떠나 연락을 주는 것은 긍정적으로 생각합니다. (그렇지 않은 회사가 더 많기 때문에)"
6,팀스파르타(주),IT/웹/통신,"인성 - 직무 능력 관심도 - 직무 능력 테스트
위와 같은 프로세스로 면접이 진행되었음""","전공 선택 배경 / 이직 사유 / 세일즈 전략 등에 대해 물어 보았음
미트로 먼저 면접을 보는데 상당히 세세히 봄",분위기는 상당히 자유롭고 자연스러웠음
7,앰코테크놀로지코리아(주) 송도사업장,IT/웹/통신,"취준을 준비하면서 알게 된 외국계 회사! 1차 서류 붙어 AI인적성 및 화상면접을 봤습니다. 그 이후 합격통지를 받아 1차 면접을 봤었는데, 현재 결과를 기다리고 있는 중입니다.""","1. 1분 자기소개
2. (영어질문) 집에서 송도로 왔을 때 어땠는지 설명
3. 대기환경기사 자격증을 공부하면서 지금 기억남는 공식이나 내용","다대다 면접(면접관 :3명, 지원자 2명)을 진행했었고 상당히 편안한 분위기로 만들어주셨습니다. 신입면접이다보니 정형화된 질문들 그리고 자기소개서에 있는 내용들을 중심으로 많이 물어봐주셨었습니다. 면접 난이도는 그렇게 높지는 않으나 외국계 회사인만큼 영어면접은 본인이 키워드 중심으로 준비하는게 좋을겁니다!"
8,(주)파운트,IT/웹/통신,"서류 제출 후 3일 안에 전화 요청이 왔습니다. 1차 면접(실무진)>2차 면접(인사팀)>처우 협상 순으로 진행되었습니다.""","이력서를 기반으로 한 질문과 지원 동기 등 기본적인 질문을 합니다. 영어 자기소개를 요청할 수도 있습니다. 회사에 대한 지원자의 기대치를 떨어트리는 질문이 있습니다. 그래도 업무 관련 외의 개인적인 질문은 없었습니다.

2차 면접은 주로 회사 인재상에 해당되는 경험 위주로 진행되었습니다.",전체적으로 입사 각오를 확인하는 면접이었습니다. 어떤 회사인지 알아보기 위해 가볍게 왔다면 놀라실 수 있습니다. 하지만 양보할 수 없는 부분에 대한 질문은 어느정도 사실을 섞어 대답하세요. 맞출 수 있는 부분인지 우리도 알아야 하니까요.
9,(주)업템포글로벌,IT/웹/통신,"메일을 통해 오퍼를 받아서 면접 보게 되었습니다. 이후 합류 제안 메일을 받아서 입사하게 되었습니다.""","1. 이력서 내 프로젝트에 대한 질문
2. 왜 그렇게 생각했는지?
3. 회사에 바라는 점","1,2: 이력서를 기반으로 답변
3: 사수가 있었으면 좋겠다고 답변"
