,company,job,title,question,answer
0,(주)하나텍시스템,IT/웹/통신,"경력 위주로 질문하였음
회사 소개와 직무 소개 해줬다!!""",경력 위주로 물어봤고 회사에 궁금한 점 물어보셔서 준비해간 질문들 물어봄,편안한 분위기에서 진행되었고 궁금했던 질문들 상세히 답변해주심
1,디에스글로벌(주),IT/웹/통신,"자기소개를 먼저 하고, 사용하는 tool, 경력에 대한 상세질문, 그리고 스트레스해소 방법 외 기타등등""","구동부 설계, 스트레스 해소방법, 사용가능 tool에 대한 질문이 있음",기본적인 지식이 있다면 면적이 어렵지는 않음.
2,엠아이티마스(주),IT/웹/통신,"온라인지원으로 이루어졌고 코로나 시기여서 원격으로 면접진행""",자기소개 진행 영어로 질문진행 일에 임하는 태도,그냥 간단하고 별 문제없었습니다
3,(주)포인트모바일,IT/웹/통신,"서류 입사지원 후 바로 다음날 면접을 보았습니다""","회사의 업종에 대해 아는가
집과의 거리
하고싶은 업무나 목표","면접 분위기도 좋았고
입사하고 싶었는데 아쉬웠습니다
불합격 연락은 따로 주시지 않는다고 들었습니다
좋은 경험이였습니다
면접비 챙겨주십니다"
4,(주)디지텍시스템스,IT/웹/통신,"분위기도 좋았고, 전문적인 질문이 있었습니다.""","이직사유, 희망연봉, 입사포부에 대한 질문",매우 좋았던 기억
5,(주)딜리,IT/웹/통신,"서류 제출 후 전화로 연락이 와서 1차면접 일정 조율. 1차 면접 합격 후 전화로 합격통보하고 2차면접 일정 조율. 2차 면접 후 전화로 합격 통보.""","1. 시사 관련 영어 질문에 대해 영어로 답하기
2. 회사 제품들에 대해 아는지
3. 어떤 동료와 함께 일하고 싶은지",질문은 무난했고 분위기도 평범함
6,러닝플러스(주),IT/웹/통신,"서류 지원 후 다음날 연락와서 면접 바로 잡아서 50분동안 1:1로 진행 > 이후 2일 이내 연락 준다고 했지만 무반응으로 있다가 11일 이후 연락와서 2차면접 있다고 통보함 > 다대다로 또 50분 내외 면접 봄""","1. 결혼 이슈가 있다면 어떻게 할 것인지?
2. 각자 MBTI로 장점과 단점을 말해보시오
3. 안정적인 기업이란 어떤 기업이라고 생각하는지?","채용전형 절차 안내 없이 2차 면접까지 진행하는 경우는 처음 이었습니다.
1차 50분내외 2차 50분 내외로 2시간 동안 아주 많은 질문을 받습니다.
합격 안내도 2일 이내로 된다고 했다가 11일 이후 진행하면서 1차 합격한 것은 또 신기했고, 체계가 없고 안내가 너무 부족하여 지원한 입장으로는 참 힘들었습니다."
7,(주)엔와이컴퓨터,IT/웹/통신,"자기소개 후 전 직장에서 어떤 일을 했는지에 대한 질문""","야근에 대해 어떻게 생각하는지
전화업무에 대한 거부감이 없는지",경력면접이라 경력 위주의 질문이었고 편안한 분위기에서 진행됐습니다.
8,(주)아임유,IT/웹/통신,"인사담당자의 유선 연락을 통해 면접일정 잡음""","1. 가족적인 분위기
2. 투자사와의 공동체 업무
3. 장기근속","전체적으로 가족적인 분위기로 근무할 수 있는 사람을 원하는 듯 했으며, 면접관 모두 질문에 대해 친절하고 자세하게 설명해줌"
9,(주)씨앤에스,IT/웹/통신,"기본적인 영단어를 기본적으로 쪽지 시험 식으로 진행하고 일정 기간 동안 학습한 내용을 바탕으로 발표함""","집에서 가까운지, 선호하는 라인 있는지, 기숙사 여부 등",대체적으로 면접은 간단했지만 인원이 잘 안걸러지기 때문에 이상한 사람이 현장으로 투입될 가능성도 잦음
