,company,job,title,question,answer
0,(주)이스트시큐리티,IT/웹/통신,"최초 인사팀으로 부터 연락 옴
대기실에 있다가 큰 회의실에서 3대1 면접 봄
실무자 면접으로 딱딱하지 않은 분위기 조성해줌""","영업과 마케팅의 차이가 뭐라고 생극하냐?
우리 회사 제품이 뭐가 있고 어떤 제품인지 알고 있는지?",편하게 대화하듯이 말씀해주시고 다소 딥한 질문은 크게 안함
1,(주)리얼시큐,IT/웹/통신,"면접 시간 조율을 몇 차례 하였는데 원활하게 조정해주었습니다.
합격은 하였으나, 다른 곳에 합격하여 입사는 하지 않았습니다.""","이전 경력에 대해 확인하고 물어보셨습니다.
개발 관련 지식에 대한 면접 질문지가 있었고, 시간을 주고 아는만큼 작성하라고 하셨습니다. 이후 면접에서 작성한 질문지를 보며 면접을 진행하였습니다.",딱딱한 분위기는 아니었습니다.
2,지니언스(주),IT/웹/통신,"지원하고 일주일 이따가 전화옴
4명 들어와서 차례 차례 물어봄 약 1시간
면접비 3만원 줬음""","1.보안이 뭔지
2.권한이 뭔지
3. 전문성을 어필해라",osi7계층 같은 거 물어볼 줄 알았는데 기초만 물어봐서 더 어버버 한 듯... 협업 잘되고 능동적인 사람을 원하는 듯함 어떤 분이 대답할때마다 자꾸 실실 웃었는데 별로였음 그리고 인사팀장이 개발직 뽑는데 관여가 심해보엿음 실무진들 대체적으로 괜찮았는데 인사팀이 ...너무 설치는 경향이 있어보였음
3,(주)엘핀,IT/웹/통신,"채용 사이트 지원 후 화상 1차 면접 진행""","그동안 진행한 프로젝트 사용 기술, 퇴사 사유 등",면접이라고 어려운 분위기는 아니였고 편안하게 답변 할 수 있게 배려해주심
4,국가보안기술연구소,IT/웹/통신,"분위기는 웃고계신분이 반, 정색하고계신분이 반정도였는데 기본적으로 위압감이 느껴졌습니다.
2명이 들어가는데 각자 들어가자마자 준비해온 PPT를 5분동안 발표하고, 이후 면접자별로 따로 시간을 나누지않고...""",직무와 직접적으로 관련된 질문을 하셨습니다. 회사생활에서의 상하관계나 스트레스해소법 같은 공통 인성질문도 물론 포함됩니다.,기본적인 베이스 지식이 적었던터라 대답이 어려웠습니다. 정말 해당분야의 전문가를 구직한다는 느낌이 들어 직무에 요구되는 기술들을 파악하고 가면 좋을 것 같습니다.
5,(주)시큐어로그,IT/웹/통신,"인터뷰 진행, 경력직이라 간단하게 진행하고 입사""","1.총 경력
2.자신있는 업무분야
3.내가 생각하는 악성 사이트의 기준?","친절하게 해주셔서 편한 분위기에서 진행함
회사 관련 내용을 대표님이 먼저 다 말씀해주셔서 물어볼 질문이 생각이 안나서 당황함"
6,(주)스파이스웨어,IT/웹/통신,"지인 추천으로 이력서를 냈고 3일정도 뒤에 연락이 와서 면접을 보게됐는데 특이하게 퇴근 시간 이후에 면접을 진행하게됨""","- 운동 좋아한다면 어떤 종목을 좋아하는지?
- 대규모 트래픽처리 경험
- 스타트업에서 근무 경험","전반적으로 근무했던 환경과 맡았던 업무에 대해 크게 훑고, 인성관련된 질문이 주를 이루었던 면접이었음"
7,케이포시큐리티(주),IT/웹/통신,"워크넷에서 경리사무 채용 공고를 보고 지원하게되어
면접제의 전화를 받고 면접을 보았습니다.""",경력사항 등 질문들은 평범한 기본적인 질문들이였습니다.,"다만, 대표님이 전 경리 여직원을 뚱뚱하고 황소 같다고 에너지가 너무 많아서 경리보다는 영업직이 어울린다는둥 면접 보는 중간에 헌담을 하시는걸 보았습니다. 이런 면접 상황은 또 처음인데 하시는 말씀이 <마음이 맞는 사람>을 뽑고 있다 이렇게 말씀하셨는데 무슨 연애 상대 고르시듯이 말씀하시는거 같아서 이상하다는 생각이 들었고 해외로 일하러 갈때도 있는데..."
8,(주)라바웨이브,IT/웹/통신,"비교적 짧은 면접시간이라 회사 정보 잘 알고 가야 함""","자신의 성격, 자신의 실패와 성공경험에 대한 자세한 설명, 현재 관심있는 분야",쏘쏘
9,아이넥스,IT/웹/통신,"온라인 지원으로 빠르게 면접 진행함. 면접 내용은 크게 중요하지 않은 부분들을 확인함.""","1. 술, 담배하시나요?
2. 동거하시나요?
3. 야간근무 할 수 있나요?",이러한 면접 경험도 할 수 있구나 라는 생각이 들었습니다. 업무에 관한 질문보단 사적인 질문을 많이 받아 신선했습니다.
