,company,job,title,question,answer
0,(주)에이블짐정보,IT/웹/통신,"이력서 위주 업무 관련 위주의 질문을 받았고 개인면접이라 다소 편하게 진행할 수 있었음""",프론트앤드 관련 언어에 대해서 알고있는 정도는? 프론트앤드와 백앤드의 차이점은?,이력서 위주 면접을 봐서 대답하는데 어려운 것은 없었음
1,호아소프트(주),IT/웹/통신,"서류합격 시 유선상으로 전화가 오고 어플로 결과가 발표됨

면접에 가면 지원한 직무에 대한 이야기와 지원한 동기 및 지원자 경력에 대한 질문이 오고감

면접이 끝나면 궁금한 부분을 물어보고 마치게됨""","1. 해당 직무에 대한 지원동기 및 정말 힘든일인데 버틸 수 있겠냐
2. 지원한 직무에 대한 지식수준을 물어보심",개인적으로 면접을 편한 분위기에서 볼 수 있도록 많이 배려해주신것 같고 합이든 불이든 연락을 주셔서 너무 감사합니다.
2,컴즈(주),IT/웹/통신,"지금까지 네군데 면접봤는데
여기빼고 다붙었음
그이유는..
첫날 여기서 하드코어 면접 연습하고 갔기 때문임ㅋㅋㅋㅋ

물론 컴즈가 첫면접이라 얼어서 조졌음 ㅜ.ㅜ

인성보다 직무 관련된 질문을 굉장히 많이...""","최저임금 올해 얼만지 아냐
최저임금인상시 회사의 대처방안?
근태관리는 왜 해야하냐 왜 중요하냐
주휴일이에 대해 설명해보라
연차사용 촉진제도
머 4대보험이 머냐 등
인사관련 기초적인거 자세히 물어보셨음",면접 실력 쌓는데 도움많이됨!
3,에프피티소프트웨어코리아(주),IT/웹/통신,"팀즈로 진행되었으며, 얼굴은 저만 오픈하였었습니다. 3-4명의 면접관이 함께 참가하였으며, 한국인은 없었습니다.""","1. 야근 많은데 괜찮은지
2. 어떤 업무까지 해봤는지
3. 알고 있는 이론에 대해 개념 설명하기
4. 자기소개 등",쉽다고 할 정도로 매우 평이하고 깊게 물어보지않았음
4,씨드젠(주),IT/웹/통신,"서류 합격 연락 후 면접 일정 잡고 진행
1:1로 진행- 40분정도
그다지 어려운 느낌은 없지만
보안 쪽 지식을 갖고 잇으면 한다는게 느껴짐""","자기소개
오는데 걸리는 시간
이전직장 퇴사 이유
장단점
보안 쪽 지식
영어 수준
회사를 선택하는 기준
이전 회사에서 가장 힘들엇던 일과 해결방법
이전 회사사람들과의 관계
회사에 궁금한점","뭔가 깔끔하게 질문하는 느낌이라기보단 즉석에서 질문거리를 생각하는 느낌?
면접 시간은 40분쯤인데 생각보다 길게 느껴짐
정적도 많이 잇었고..
보안 쪽 지식이 없어보여서 직무 관련 질문은 못할 것 같다고 인성,경험 위주로 질문
그럴거면 필수 자격 요건에 보안지식보유자 를 넣어놓던가...ㅋㅋ

결과는 합격은 2차면접 연락오고 불합격은 연락 없을거라고 함"
5,퓨쳐누리(주),IT/웹/통신,"서류제출, 면접일정협의, 1차면접, 2차면접""","의사소통 잘 되는가, 개발에 대한 전체적인 흐름을 알고 있는가, 오버로딩과 오버라이딩의 차이","학원에서 진행한 프로젝트 말 함
오버로딩과 오버라이딩의 차이 말하고 전체적인 흐름은 말하다가 중간에 꼬였는데 면접보는 분이 설명해주심
전체적으로 풀어주려는 분위기였고 압박은 전혀 없었음"
6,(주)소나무정보기술,IT/웹/통신,"기술적인 이야기는 거의 제로이고 어떤거 써봤냐고 물어보는 것 위주""",기술적인 질문을 하는 면접의 자리 보다는 회사에 당장 출근 가능한가 위주,딱히 준비를 하고 갈 필요는 없고 회사에서 버틸 수 있을지에 대해 마음의 준비 정도면 충분
7,(주)테스트웍스,IT/웹/통신,"서류 면접 등 빠르게 진행
업무 관련 질문 등
큰 어려움 없음""","공백기 질문 등 딱히 어려움이 없는 질문의 연속이라
긴장안하면",큰 어려움 없고 1차 2차면접을 동시에 볼 수 있다..
8,아세테크(주),IT/웹/통신,"지원자 1 대 상위 관리자 2로 면접 진행했습니다
업무에 대한 질문 위주였습니다
분위기 자체는 무겁지 않았습니다""",지원동기가 무엇인지? 야근 할 수 있는지? 또는 실무 질문 정도,"경력직 위주로 뽑으려는 느낌이었습니다
신입 지원이었는데 실무 업무에 대한 질문이 많았습니다"
9,피피에스(주),IT/웹/통신,"기업검색에서 온라인 지원후 유선연락으로 면접진행. 별다른 복잡한 절차없어요.""","개발경험에 대한 이야기, 학력사항에 대한 이야기, 거주지위치에 대한 이야기 특별히 질문의 이유가 무척 협소",어려운과정이 없었다.
10,(주)이테크시스템,IT/웹/통신,"총 2차면접까지 진행함
1차(실무면접) : 지원 직무에 맞는 기술 스택, 출퇴근방법, 시간 등등 평이한 질문

2차(임원면접) : 직무 선택이유, 간단한 자기소개""","1. 직무 선택이유
2. 이테크시스템 아는지?
3. 엔지니어로써 출장, 야근은 괜찮은지?","1,2차모두 편안한 분위기이며, 결과는 1주내로 나옴
단 공고에나온 직무와 관련된 기술면접 준비는 필요"
