,company,job,title,question,answer
0,(주)이스트게임즈,IT/웹/통신,"온라인 지원 후 2주 정도 후 연락, 화상 면접 진행 후 일주일 안에 합불 여부 메일로 통보""","기술적인 질문.
꼬리의 꼬리를 무는 질문이 이어진다.
면접 시작 때 주어진 주제로 거의 끝까지 이어졌다.
배열과 리스트의 차이, 메모리 관련 등등의 질문이 꼬리를 물며 이어졌다.","꼬리를 무는 만큼 스스로가 얼마나 아는지 점검이 되는 것은 좋았다.

자기소개도 안하는 면접관.
면접자에 대한 관심이 하나도 없어 보이는 태도.
타사 면접은 그래도 내가 존중 받는다는 느낌이 들었는데, 여기선 느끼지 못한 것 같다.

면접관이 만족할만한 대답을 잘 한 것은 아니지만, 혹시 합격이 되더라도
이런 회사에 가서 내가 잘 있을 수..."
1,(주)쿡앱스,IT/웹/통신,"서류 지원 후 약 3일 만에 합격 결과가 나왔고 과제 약 일주일간 과제 진행 후 1차 면접 진행
1차 면접에서 해당 팀의 관계자 분 세 분이 나와 3:1로 면접을 진행함.
1차 후 탈락""","나의 이력에 있던 옛날에 만들었던 작은 게임에 대한 질문이 나왔을 때 크게 당황함.
그리고 장르에 대한 질문과 기획 의도에 대한 질문이 기억에 남는다.",압박 면접의 스타일이고 빠른 답을 요하기 때문에 평소에 많은 생각과 고민들을 해둘 필요가 있다.
2,(주)넥슨게임즈,IT/웹/통신,"1대 다 대면 면접이였으며 실무 경험과 회사와의 핏을 보는 면접이였습니다.""","타 부서에서의 오퍼가 오면 어떻게 할 것인가?
자율출근제에 대해 어떻게 생각하는가?
실행해보고 싶은 복지 제도가 있는가?","회사가 현재 실행하고 있는 복지 제도는 무엇이 있는지, 안하고 있다면 과거에는 실행했는지 등의 부분들을 미리 공부하는 편이 좋습니다."
3,(주)수퍼트리,IT/웹/통신,"1차면접으로 끝
기술면접이라기보단 이력서보고 대화하는 정도""","이건 무슨프로젝트인지
이건 그냥 인덱스 적용한건가요
왜 퇴사하시나요","이력서의 기술적인 내용을 질문하는 건 없고
그냥 경험 얘기만해서 내 기술을 어떻게 평가하는건지 아리송했음"
4,(주)해긴,IT/웹/통신,"지원 후 전화로 면접 연락 옴.
서류접수-1차면접-2차면접-결과통보""","우리 게임 해봤는가?
이전 회사에서 어떤 식으로 작업 했는가?
출퇴근 괜찮은가?",1차는 길고 질문도 많은편 2차는 무난했습니다.
5,(주)펄어비스,IT/웹/통신,"제출한 포트폴리오에 대해 어떤부분을 어떻게 제작했고 기여했는지에 대해 자세히 물어봄""",체력이 좋은지 물어보았고 인성질문에서 롤모델이 누군지 물어봤던것 같다,열심히 준비하면 대답에 크게 어려운 점은 없었지만 꽤나 진땀나는 질문들이 여럿 있었다
6,(주)로드컴플릿,IT/웹/통신,"이력서 제출후 면접제안까지 빠르게 진행되는편
면접자 두명참석 피디와 개발팀장""","면접 프로세스 없이 즉흥적으로 물어보는느낌
줄ㆍ인원이 스타트업이랑 중소도 아닌데 이렇게까지 준비를 안하나
분위기는 화기애애함",스타트업 분위기나서 입사포기
7,팀42(주),IT/웹/통신,"서류 제출 후 1달 보름 후에 연락이 왔네요. 그 이후로는 면접 1회 진행 후 최종 결과가 안내되었습니다.
면접관으로 총 3분 계셨는데, 2분은 실무진이었고, 한 분은 인사 담당이거나 최소 리더급이셨던 거...""","1. Int 기반 HashTable과 Array 성능 차이점
2. Swift Struct, ARC 메모리 구조
3. 프로젝트 리딩 중 의견 충돌시 어떻게 대처하는지","1. Array는 연속적인 메모리 공간을 사용하기에 캐시 miss가 적게 발생하여 더 효율적
2. struct은 3word 초과인지 아닌지에 따라 별도 Heap 공간을 확보할 수도, 스택메모리를 사용할 수도 있으며, 기본적으로 Struct변수는 스택에 6word 공간을 차지 (WWDC 내용 기반 답변)
3. 메뉴얼이나 공식 레퍼런스에 위반되는 거면..."
8,(주)시프트업,IT/웹/통신,"면접관 세 명이 들어와서 질문을 했으며 대답을 잘했는데도 같은 질문을 여러번 반복해서 해서 왜이러나 싶었음""","전직장 퇴사 이유
다른사람들과 일하면서 좋았던것과 힘들었던것
스트레스 관리","거리도 멀고 비전이 없다고 솔직하게 말함
타업계 경력도 있는데 별로 좋아하지 않는 느낌"
9,(주)제네시스네스트,IT/웹/통신,"서류 합격 후 메일로 면접 일정 잡은 후 일주일 정도 지나고 면접을 봤습니다""",네트워크 관련 질문이 많았고 기술 관련 질문이 대부분이였습니다,면접관님께서 똑똑하신거같았습니다
