,subject,title,content
0,python,서버 운영중에 궁금증이 생겼는데 이 로그는 해킹시도인가요?,"django.core.exceptions.DisallowedHost: Invalid HTTP_HOST header: 'pingjs.qq.com'. You may need to add 'pingjs.qq.com' to ALLOWED_HOSTS. 2023-10-03 05:09:32,644 [ERROR] django.security.DisallowedHost: Invalid HTTP_HOST header: 'pingjs.qq.com'. You may need to add 'pingjs.qq.com' to ALLOWED_HOSTS. Traceback (most recent call last): File ""/usr/local/lib/python3.9/site-packages/django/core/handlers/exception.py"", line 55, in inner response = get_response(request) File ""/usr/local/lib/python3.9/site-packages/django/utils/deprecation.py"", line 133, in __call__ response = self.process_request(request) File ""/usr/local/lib/python3.9/site-packages/django/middleware/common.py"", line 48, in process_request host = request.get_host() File ""/usr/local/lib/python3.9/site-packages/django/http/request.py"", line 167, in get_host raise DisallowedHost(msg) django.core.exceptions.DisallowedHost: Invalid HTTP_HOST header: 'pingjs.qq.com'. You may need to add 'pingjs.qq.com' to ALLOWED_HOSTS. 2023-10-03 05:09:32,646 [WARNING] django.request: Bad Request: /ping.js 2023-10-03 05:09:32,646 [WARNING] django.request: Bad Request: /ping.js 2023-10-03 05:38:50,055 [WARNING] django.request: Not Found: /wp-admin/setup-config.php 2023-10-03 05:38:50,055 [WARNING] django.request: Not Found: /wp-admin/setup-config.php 2023-10-03 05:38:55,464 [WARNING] django.request: Not Found: /wp-admin/install.php 2023-10-03 05:38:55,464 [WARNING] django.request: Not Found: /wp-admin/install.php 2023-10-03 05:39:03,014 [WARNING] django.request: Not Found: /readme.html 2023-10-03 05:39:03,014 [WARNING] django.request: Not Found: /readme.html 2023-10-03 05:39:12,407 [WARNING] django.request: Not Found: /license.txt 로그를 까보면 이런식으로 무언가 요청을 엄청 많이 하더라구요 ?? 방지하는 방법이라던가 혹시 어떻게 대처해야할지 아시는분이 있을까요 ..?"
1,python,"우분투에서 pip install 시, 다음과 같은 오류가 발생합니다.","안녕하십니까 선배님들. 현재 AWS EC2에서 안드로이드 어플리케이션 용으로 백엔드 서버를 구축하는 도중, 다음과 같은 오류를 맞이했습니다. 현재 사용하는 ubuntu는 24.04 LTS 버전입니다. 도무지 해결 방안을 찾지 못해서 이렇게 조언을 구하고 싶습니다. 감사합니다. pip install git error: externally-managed-environment × This environment is externally managed ╰─> To install Python packages system-wide, try apt install python3-xyz, where xyz is the package you are trying to install. If you wish to install a non-Debian-packaged Python package, create a virtual environment using python3 -m venv path/to/venv. Then use path/to/venv/bin/python and path/to/venv/bin/pip. Make sure you have python3-full installed. If you wish to install a non-Debian packaged Python application, it may be easiest to use pipx install xyz, which will manage a virtual environment for you. Make sure you have pipx installed. See /usr/share/doc/python3.12/README.venv for more information. note: If you believe this is a mistake, please contact your Python installation or OS distribution provider. You can override this, at the risk of breaking your Python installation or OS, by passing --break-system-packages. hint: See PEP 668 for the detailed specification."
2,python,질문) process finished with exit code2,/Users/사용자명/Desktop/Pycharm/시도1/venv/bin/python /Users/사용자명/Desktop/Pycharm/시도1/hello.py /Library/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/사용자명/Desktop/Pycharm/시도1/hello.py': [Errno 2] No such file or directory Process finished with exit code 2 .. 파이참을 실행시키려는데 이렇게뜨네요 코딩초보입니다 도와주세요
3,python,파이썬(FastAPI) 도커에 Komoran 추가 하는 방버?,안녕하세요 파이썬도 처음인데 도커도 처음 하게 되었어요 개발로 Fast API를 만들어 pyKomoran을 사용해 문자를 받는 것을 추가했습니다 이제 환경을 도커로 만들어 배포를 하고 싶은데 Komoran는 Java에서 실행이 되다 보니 Java를 설치를 해야 하는데 도커에서 어떻게 추가하는지 잘 모르겠어요 AI 들에게 물어봤지만 오류만 나고 있습니다 -------------------- FROM python:latest WORKDIR /app/ COPY ./main.py /app/ COPY ./routers /app/routers COPY ./pydantics /app/pydantics COPY ./controller /app/controller COPY ./tmp /app/tmp COPY ./requirements.txt /app/ RUN pip3 install -r requirements.txt CMD uvicorn main:app --reload -------------------- 이런 방식으로 만들었는데 어떻게 여기서 Java를 추가 하는지 알려주세요 ㅠㅠ ENV sudo yum install java-1.8.0-openjdk 답답해서 위와 같은 방법을 했는데 (직접 설치하기 ) 이 방법은 에러가 나더라고요 Komoran를 사용하시는 선배님들 배포를 어떻게 하셨는지 궁금합니다 -> 지금 환경에서 서버는 CloudType 이라는 서버를 사용할 거라 제가 추가 설치를 할 수 없습니다 그래서 도커를 이용해 컨테이너화 후 배포할 생각입니다
4,python,프론트엔드 개발자를 지망하는 취준생인데 이력서에 뭐가 부족한 것일까요?,"5월 19일에 국비 부트캠프를 수료한 후 현재까지 5개월 동안 구직 활동을 하고 있는 취준생입니다. 현재까지 100군데 넘게 스타트업, 중소, 중견, 대기업 가리지 않고 다 지원했는데 면접은 커녕 서류 통과가 되는 곳이 한 군데도 없습니다. 취업에 먼저 성공했던 동료 취준생과 디스코드의 개발자 커뮤니티를 통해 이력서를 수정하고 있는데 현재 맞게 진행되고 있는지 긴가민가 합니다. 그래서 여기 계시는 현직자 분들한테 피드백 요청드리고자 합니다. 가감없는 솔직한 평가 부탁 드리겠습니다. 1. 이력서 제목: '이력서 | 안녕하세요, 정연준입니다!' -부족해도 멈추지 않는 개발자 -아는 것과 모르는 것을 구분할 줄 아는 개발자 2. 자기 소개: `안녕하세요, 신입 React 프론트엔드 개발자 정연준입니다. -시행 착오를 통해 성장해나갑니다. -잘하는 것과 부족한 것을 구분하여 잘하는 것을 부각시키고, 부족한 것을 채울려고 노력하는 개발자가 될려고 합니다. -좋은 서비스와 더불어 사용자가 편하게 이용할 수 있는 서비스를 만드는 것을 목표로 하고 있습니다. ` 3. 개발 직무: 프론트엔드 개발자 4. 프로젝트: -기간: 2023.04.17 ~ 2023.05.19 -서비스 제목: One-Line -한 줄 요약: AI모델이 사용자가 작성한 게시글을 한 줄 요약 및 제목 생성 -프로젝트 종류: 팀 프로젝트 -역할: 프론트엔드 파트(메인 페이지 게시글 목록 전체 조회, 인증 페이지 구현) *메인페이지 게시글 목록 전체 조회 1) Trending 섹션 2) Recent Posts 섹션 *메인 헤더(Global Navigation 메뉴) *인증 페이지에 Firebase Authentication 기능 적용 5. 교육 이력: -기간: 2022.11.28 ~ 2023.05.19 -주관 기관: 엘리스 -교육 프로그램 이름: 엘리스 AI트랙 6기 -학습한 기술 스택: React, Express.js, MongoDB, HTML5, CSS3, JavaScript, GitLab, Python, MySQL, TensorFlow, Pandas, Node.js -세부 사항 *JavaScript 1) JavaScript 기초 2) 싱글 스레드, Event, Promise 개념 숙지 *React 1) React 기초 *Express.js 1) Express.js 기초 *MongoDB + Mongoose 1) DBMS 기초 2) MongoDB, Mongoose 기초 *데이터 분석 1) Python, SQL 기초 2) Pandas 기초 *인공지능 1) 데이터 과학 기초 2) 이미지 처리 기초 6. 링크 -프로젝트 링크: https://10team.vercel.app/ -프로젝트 시연 영상: https://drive.google.com/file/d/16Qni0swyC8HbAY2iqnEy5QWze9ianjln/view?usp=sharing -개인 블로그: https://chadolbaegi128.tistory.com/"
5,python,왜 이렇게 나올까요 ㅠㅠ 도와주세요 ㅠㅠ,"Fatal Python error: init_import_site: Failed to import the site module Python runtime state: initialized Traceback (most recent call last): File ""<frozen importlib._bootstrap>"", line 1176, in _find_and_load File ""<frozen importlib._bootstrap>"", line 1147, in _find_and_load_unlocked File ""<frozen importlib._bootstrap>"", line 690, in _load_unlocked File ""<frozen importlib._bootstrap>"", line 980, in exec_module File ""<frozen site>"", line 626, in <module> File ""<frozen site>"", line 612,"
6,python,airflow xcom_pull() 이 None 을 리턴합니다 (오류),"api 를 만들고 Airflow 를 사용해서 ETL 파이프라인을 만드는 도중에 생긴 문제인데요, simplehttpOperator 로 api 에서 결과를 가져왔고 (성공), 결과값을 transform 하려고 simplehttpOperator 를 xcom_pull 하는 코드를 짰습니다. (코드는 아래와 같습니다.) def _processing_api(ti): if not len(assets): raise ValueError('empty') assets = ti.xcom_pull(task_ids = 'extract_riot_api') 결과는 ValueError 를 리턴했습니다. 이유를 찾으려고 riot api 에서 테스트를 시작했고 riot api 웹에서 얻어지는 리턴값을 airflow UI 의 simplehttpOperator 의 xcom 에서 key - return_value , value - [{}, {}, ...] json 형식의 값을 확인할 수 있었는데, 역시 xcom_pull 을 한 결과가 ValueError 였습니다. extract_data 는 api 에서 json data 를 가져오는 코드이고 _processing_api 함수는 pythonoperator 에서 쓰려고 만든 코드입니다. stackoverflow, airflow docs 등을 3~4 일 정도 본 것 같은데, 해결하지 못했네요.. 비슷한 경험을 해결하셨던 분 계신가요 ..? 어디 물어볼 곳도 없어서.. 여기에 마지막으로 올려봐요. 아시는 분 도움주시면 감사하겠습니다"
7,python,WSL 주피터노트북 실행시 메시지 원인,"ipped non-installed server(s): bash-language-server, dockerfile-language-server-nodejs, javascript-typescript-langserver, jedi-language-server, julia-language-server, pyright, python-language-server, python-lsp-server, r-languageserver, sql-language-server, texlab, typescript-language-server, unified-language-server, vscode-css-languageserver-bin, vscode-html-languageserver-bin, vscode-json-languageserver-bin, yaml-language-server 라는 메시지가 wsl 주피터 실행시 자꾸뜨는데 원인이뭔지모르겠어요ㅠㅠ 커널이자꾸죽는이유와도 연관있을까요"
8,python,닫힌 질문,"C언어와 Python의 차이점에 대해 설명과 PyPy, Jython, IronPython에 대해서 설명하시오."
9,python,Python - def 에서 return 유무가 미치는 영향에 대해 문의드립니다.(코드 포함),"python을 처음 접해 본 사람입니다. class Stocks: def __init__ (self, name, price, count = 0): self.name = name self.price = price self.count = count def __repr__(self): return f""Stocks 클릭 수(count={self.count})"" def click(self, num_times=1): self.num_times = num_times self.count = self.count + num_times def read(self): return self.count def reset(self): self.count = 0 lg = Stocks(""LG전자"", 150000) method 함수 안에 return을 어떠한 경우에 쓰이는지 모르겠습니다. init, click, reset은 return을 안 썼는데 repr, read는 사용했습니다. 사용 미사용의 이유를 예시를 통해 구체적으로 설명해주시면 감사드리겠습니다."
