,subject,title,content
0,비전공자,비전공자 휴학생 국비 지원 교육 후 컴공 복수전공,"안녕하세요. 비전공 어문계열 4년제 대학 3학년 1학기까지 마치고 휴학 중인 27세 남자입니다. 20대 초반부터 재수까지 해가며 겨우 원하던 대학에 진학은 했지만, 막상 전공 공부만으로는 취업문에 미래가 없다는 생각이 들어 휴학을 전전하며 공무원 시험을 준비하다가 결국 올해를 마지막으로 포기하고 개발자에 도전하려고 합니다. 불행인지 다행인지 학교에서는 복수전공을 필수로 요구하고 있어 졸업이전까지 제1전공 외에 제2전공을 선택하여 같은 학점을 이수하여야 졸업을 할 수 있습니다. 저는 재학중일 때에도 시험을 병행해서 준비해왔다보니 기존 복수전공하던 과목의 전공수업은 현재 하나도 듣지 않은 상황입니다. 따라서 제가 원한다면 복학 이후에 컴퓨터공학으로 복수전공을 변경하여 졸업까지 수강이 가능합니다. 올해 1학기를 마치고 휴학을 했기 때문에 24년 9월이 되어야 복학이 가능합니다. 따라서 그 때까지는 우선 국비 지원 교육(k-디지털 교육)을 통해 학원에서 약 6개월정도 교육을 수료해보려고 합니다. 여기서 고민되는 부분이 있어 질문드리게 되었습니다. 아무래도 적지 않은 나이다보니 더 늦기 전에 빨리 취업하는 것이 좋지 않을까하는 생각에 국비지원교육을 받은 이후 복학하는 것을 포기(자퇴)하고 곧바로 취업(국비지원교육은 기본적으로 빠르게 취업을 하는 것을 목적으로 한다고 들었습니다.)하여 경력을 쌓는 것이 나을지, 아무리 늦어도 4년제 대학 졸업장은 따면서 컴퓨터공학 복수전공을 통해 학위까지 받는 것이 이후 커리어에서 유리할지 고민이 됩니다. 6개월 정도 코딩 공부를 한다고 해서 대학교 컴퓨터공학 전공수업을 따라 갈 수 있을지도 걱정이 되고, 막상 전공공부가 잘 풀려서 졸업을 한다고 해도 이후 곧바로 취업을 할 수 있다는 보장도 없는데다, 또 다시 개인 포트폴리오나, 프로젝트를 하기 위해 부트캠프나 스터디 등에 전전하다가 30대에 들어설 것 같아 걱정됩니다. IT기업 입장에서 타직종 직장생활 경험조차 없는 20대 후반, 30대 초반의 주전공도 아닌 복수전공 신입이 경쟁력이 있을까 걱정도 되고요. 국비지원교육들이 아직 개강 전이고 신청기간도 조금 남아서 현재는 Python, Java 언어 기초만 책과 인강, 유튜브 등으로 독학중인 초보자입니다. 20대 동안 많은 도전을 했지만 대부분 실패하고 좌절했지만 더 늦기 전 마지막 도전이라는 마음가짐으로 임하고 있어 그 어느때보다 간절하긴 합니다. 성격이나 성향 상 백엔드 개발자를 도전하고 싶긴하나, 공부하는 과정에서나 취업시장에 맞춰 프론트엔드 개발자나 다른 분야의 개발자로 일할 의향도 당연히 있습니다. 비슷한 경험을 하시거나 보신 개발자 분들이 있으시다면 고견 부탁드립니다. 비슷한 경험이 아니더라도 지금 제 상황에 대해 조언해주시고 싶으신 분들이 있으시다면 많은 가르침 부탁드립니다. 감사합니다. *고민사항 요약 1. 이번 겨울부터 6개월 간 국비지원교육(k-디지털 교육) 혹은 초보자 대상 부트캠프를 통해 중소SI기업부터 취업하여 경력 쌓기 vs 6개월 교육 이후 복학하여 남은 3학기를 컴퓨터공학 복수전공하여 학사학위를 받고 취업에 도전하기 2. 6개월 국비지원교육 과정에서 배우는 것만으로 대학교 컴퓨터공학전공 과목 수업들을 듣는 데 부족하진 않을지. 만약 부족하다면 복학 전에 어떤 공부를 추가적으로 하는 것이 좋을지(ex.이산수학 or 관련자격증) 3. IT기업 혹은 관련기업 입장에서 30대초반의 복수전공자 신입을 채용하는 것을 꺼리지 않을지 4. 제가 생각한 것 외에 개발자로서 좋은 방향성을 알려주실 수 있다면 고견 부탁드립니다."
1,비전공자,"문과 비전공자, 앱개발 혹은 웹개발 도전, 해외취업","안녕하세요! 현재 24살(한국 나이), 막학기를 재학하고 있는 학생입니다. 독일어와 글로벌비즈니스를 전공하고 있어 정말 IT와는 1도 관련이 없는 학사를 갖고 있습니다. 요즘 고민이 너무 많아 밤에 잠이 거의 안 오네요.. 곧 취준생이 될 예정이라서 그런가봅니다. 이것저것 도전하는 것을 좋아해, 다양한 경험을 갖고 있지만 워낙 재미추구형(?)으로 살아왔다보니 막학기가 되어, 제 스스로 어느 분야 하나 특색 없이 굉장히 애매해져 버렸다는 것을 깨달았습니다. 확실한 것은 제가 어떤 직무를 갖게 되든, 저는 해외 나가는 것을 워낙 좋아해, 해외취업 혹은 이곳저곳 돌아다니며 일할 수 있는 환경에서 일하고 싶습니다. 여태 해오던 (하지만 좀 애매한) 비즈니스 쪽 - 특히 해외영업, 마케팅 쪽으로 인턴을 마구 집어넣어 경험을 쌓을지, 혹은 아예 전향하여 앱개발 혹은 웹개발에 도전할지 고민을 시작하였습니다. 사실 프로그래밍 쪽으론 거의 노베입니다. 파이썬만 유튜브로 좀 따라하고 재밌었던 경험이 전부입니다. 다만 제가 앱개발 혹은 웹개발을 생각하게 된 이유는, 제가 오늘 컴퓨터 학원에 가서 상담을 받았을 때 그 두 분야가 비전공자가 가장 쉽게 전향할 수 있는 분야라고 하시더라고요. 저도 사실 하루종일 앉아서 코딩할 자신은 없어서 아예 프로그래밍 개발자가 되는 것은 힘들 것 같다고 생각했고요. 이 분야에서 일하고 계신 멘토님들, 비전공자에게 솔직한 조언 부탁드립니다. 학원에서 들은 대로 비전공자가 도전할 만한 분야일까요? 또한 제가 이 쪽으로 취업을 하기 전까지 지금부터 준비한다면 어느 정도 기간을 잡아야할까요? 요새 전망이 어떤지도 궁금합니다. 하지만 위에서 언급했다시피 제가 결국 이 분야를 생각하게 된 건 제가 해외 이곳저곳 돌아다니며 일을 하고 싶은데, 저만의 기술을 갖고 있으면 보다 쉽지 않을까 라는 생각이 들어서였습니다. 하지만 한편으로는 외국은 어떤 전공을 가진지를 정말 큰 요소로 봐서, 제가 아무리 이 쪽으로 공부를 한다고 해도 길이 트일지 걱정이 됩니다. 제가 알기로 특히나 독일은 전공이 정말 중요한 요소로 작용해, 몇 년 이상 경력이 없으면 비전공자인 제가 도전조차 못하지 않을까 걱정이 되어서요. 그러면 아예 외국에서 그 쪽으로 학사를 따야하나? 하는 생각까지 같지만, 지금 당장 그런 결정을 하기엔 엄두가 나지 않습니다. 제 원래 전공을 살려 준비하는 것이 해외취업에 더 가까워지는 글일까요? 두서 없지만.. 정말 고민이 되어 여기 처음으로 글을 남기게 되었습니다. 어떤 조언이든 해주시면 감사하겠습니다 :)"
2,비전공자,대학교 4학년이 앞으로의 방향에 대해 조언을 구합니다!,"안녕하세요. 저는 현재 비전공자(디자인) 4년제 대학생으로 4학년 1학기를 다니고 있습니다. 재학중인 대학은 제 전공으로는 상위권, 전체적인 네임벨류와 전산과로는 중(~상?) 정도 인 것 같습니다. 저는 지금 6개월 부트캠프의 막바지를 달리고 있는데, 아무래도 기간이 매우 빠르다보니 현업의 툴 다루는 방법은 습득하였지만 기초 지식과 문제 해결력(코테) 등이 매우 부족함을 느끼고 있어요. 아직 대학을 졸업하지 않아 복부전, 편입에도 관심이 생기는데 의미가 있는 도전인지 궁금하여 다른 분들의 의견을 듣고 싶습니다. 제가 앞으로 선택할 수 있는 선택지는 세 가지 정도가 있습니다. 1. 복수전공이나 부전공 이전에는 빨리 졸업하고 필요한 것만 독학해서 취업하자는 생각이 강했기 때문에 전산과 전공은 들어둔 게 없습니다. 하게 되면 2년은 대학을 다녀야 할 것 같아요. 본전공은 졸업용 4학점만 남아서 해당 전공생처럼 다닐 수는 있습니다. 다니게 되면 재학하며 구름톤 등 대학 IT 동아리를 더욱 경험해보고 싶습니다. 2. 졸업 후 학사편입 아무래도 학벌이 조금 아쉬워서, 그리고 좀 여유롭게 공부하고 싶어 학사 편입도 생각해봤는데, 1년을 편입에 투자하는 게 불필요한 선택 + 빙빙 돌아가게 되는 결정이 아닐까 걱정도 됩니다. 아무래도 실력이 더 중요한 분야니까요. 실제로 제 본 전공도 실력이 중요한 분야라 재수나 반수 등을 하지 않기도 했습니다. 편입을 결정하게 되면 인서울 상위권 대학만을 생각하고 있습니다. 수학에 발목이 좀 잡히겠지만 공부는 열심히 하는 편이라 시간 투자가 아까운 결정이 아니라면 괜찮을 것 같습니다. 대학원의 경우 제가 목표하는 분야가 ai 처럼 고급학위를 요하지 않아 그것까지는 정말 불필요한 것 같습니다!! 아니면 방통대 편입으로 좀 쉽게 가는 건 어떤지도 고민해봤습니다 .. !! 3. 빠른 졸업 후 독학 - 다른 유명한 부트캠프 지원 현재 전공 졸프를 끝내고 빠르게 졸업을 한 후, 연말부터 우아캠 등 다른 좀 더 길고 가치가 좋은 부트캠프에 들어가는 게 원래 계획이었습니다! 6월 중 모집하는 부스트캠프는 올해 시간적 여유가 없어 준비는 못하고 시험만 봐볼 것 같습니다. 알고리즘, CS 관련 지식이 전무하여 개인적으로 공부가 많이 필요합니다! 그런데 이 경우는 중간에 공백이 있어서 좀 걱정이 됩니다. 전공자 입장에서, 또는 현업 개발자분들 입장에서 보시기엔 어떤 결정이 더 좋을지 조언 듣고 싶습니다! 대학에 2년을 투자하여 학위를 받고 차근차근 공부하는 게좋을지, 힘들더라도 비전공자로 빠른 독학 (+정처기)을 하는 게 좋을지 말씀해주시면 참고하겠습니다. 참고로 저는 24살 여성이고 집안 사정 등으로 빠르게 취업해야 하는 상황은 아니지만, 너무 취업이 늦어지는 것은 좋지 않을까 생각합니다...! 마지막으로 저는 지금은 리액트 등 웹 프론트엔드를 공부중이고, 결과적으로는 IOS, 안드 등 모바일 개발자가 되고 싶습니다. 가능하다면 소프트웨어 엔지니어인 풀스택까지 목표로 하고 있구요. 대학에서 모바일 관련으로 많이 배울 수 없는 것을 알고 있습니다만 기본 지식의 부족함 또한 많이 갈증을 느끼고 있습니다. 긴 글 읽어주셔서 감사하고 좋은 하루 되시길 바랍니다!!"
3,비전공자,코딩을 하지 않는 회사에 개발자로 일하고 있습니다.,"부트캠프 비전공자 신입 개발자입니다. 현재 수습기간으로 회사를 다니고 있습니다. 저는 우선 백엔드, 프론트엔드를 가리지 않습니다. 또한 기술도 가리지 않습니다. 다만 IT 업계에서 레거시를 개선해온 데에는 이유가 있다고 생각하고 있는 편이며, 특히 AOP 등의 개념에 공감을 하고 있습니다. 자동화 할 수 있는 것은 자동화 하고 개발자는 코드의 고도화 또는 성능 개선에 힘써야 한다고 생각하며, 동시에 ""개발자라면 스스로를 코딩하는 사람으로 정의하지 않아야 한다""는 말에도 깊은 공감을 가지고 있습니다. 저희 회사는 15인 미만의 인원으로 운영되고 있습니다. 이 중 절반 이상이 임원으로 구성되어 있으며, 중간 관리자 직책은 없습니다. 다양한 서비스를 동시에 운영하고 있는데, 각 서비스의 언어와 기술 스택이 모두 다르고, 내부에 각 서비스의 기술 스택을 정확하게 알고 있는 사람이 없습니다. 저는 JPA를 배웠는데 해당 기술을 쓰는 서비스는 없습니다. 모두 SI에 개발을 의뢰했다가 내부 개발자의 필요성을 느낀 후 내부로 끌고 오는 중입니다. 서비스 중에는 레거시한 시스템으로 구성된 것도 있습니다. 프론트와 백엔드의 영역이 나뉘지 않고, 형상관리나 버전관리가 없으며, 옛날 방식의 CMS를 그대로 쓰는 것도 있습니다. 문제는 내부에 개발을 경험했다 하시는 임원 분들이 개발에 손을 놓은지 너무 오래되셨는지 ""프론트엔드=퍼블리셔, 백엔드=기능개발""로 생각하고 계신다는 것입니다. 서비스 중 하나는 형상관리와 버전관리 전략을 신입 개발자들끼리 도입했으며, 그럼에도 불구하고 CI/CD, 기초적인 개발 환경 가이드 등(기술 스택이나 버전, env예시) 해결해야 할 부분이 많고, 그 누구도 이것을 교육하거나 키워드를 주는 것 조차 해줄 수 있는 사람이 없습니다. 오로지 비전공자 신입 몇 명 뿐입니다. 그렇기에 프론트엔드와 백엔드를 나눠서 채용을 했음에도 불구하고, 개발 측면에서 두 포지션을 구분하지 않고 잡히는 대로 일을 주고 있으며, ""개발은 단순하게 동작만 되면 된다. 레거시한 기술을 바꾸고 싶거나 고도화 시키고 싶으면 나를 설득시켜라""는 말을 하기도 합니다. 프론트엔드에게 UX/UI 등의 작업을 맡기며(내부에 디자이너가 있습니다.) 또한 개발자는 기획을 이해하고 있어야 한다는 이유로 기획을 함께 해야 한다고 사업화 아이디어 강요하고, SI식의 산출물을 요구합니다. 그러나 산출물에 대한 가이드는 없고 키워드만 던져주며 서칭을 통해 어떻게든 만들어가면 원하는 방향이 아니라며 이 시간 동안 이걸 한거냐는 지적을 합니다. 가이드를 요구하면 ""틀을 주면 거기에 갇힌다는 이유""로 직접적인 가이드를 주지 않습니다. 회사에선 신입에게 이런 경험을 제공하는 회사는 없으며 그렇기에 고마워 해야 한다는 말을 합니다. 프론트엔드는 퍼블리셔와 구분점이 없기에 밥그릇 뺏기기 싫다면 기획과 UX/UI를 이해해야 하고, DB도 볼 수 있어야 한다고 말합니다. 기획을 모르는 개발자는 성공할 수 없으며 인정하지 않는다고도 말합니다. 물론 이런 말이 전부 틀렸다고 생각하지는 않습니다. 그러나 저는 걱정이 됩니다. 하나의 언어도 제대로 구사하지 못하는 제가 최소 3개 이상의 다른 언어와 기술 스택으로 이루어진 여러 서비스를 동시에 다루는 것이 맞는건지, 환경 설정을 하기 위한 기본적인 정보(프레임워크 버전)도 알려주지 못하는 회사에서 혼자서 광범위한 정보를 찾으며 개발을 하려는게 자의식 과잉은 아닌지, 한 번도 사용해본적 없는 프레임워크를 다루기에 앞서 업무를 하기 위한 최소한의 공부도 ""회사는 학교가 아니기에"" 업무시간 외에 하는 것이 일반적인 개발 회사의 방향이 맞는지 아직은 모르겠습니다. chatGPT가 나왔기에, IDE가 나왔기에 요즘의 개발은 너무 쉬워졌다고. 그렇기에 개발자는 기획을 해야 한다는 말이나, 개발은 계속해서 외주 업체에 맡길거니까 너희의 역할은 외주 개발사를 컨트롤 하고 개발 기획을 정의하는 것이라는 말을 들을 때마다 저는 회사가 저에게 요구하는 역할이 개발자인지 PM인지 헷갈리곤 합니다. 비전공자인 제가 코딩을 시작한 이유는 코딩이 '객관적'이라고 생각하기 때문입니다. 컴퓨터는 거짓말을 하지 않기 때문에, 저는 코딩에 정답은 없을지라도 답은 명확하게 있다는 말에 공감합니다. 그런데 회사가 저에게 요구하는 일은 어떤 의미에선 너무 주관적인 영역으로 느껴집니다. 피드백을 받고 개선해도, 다른 사람에겐 개선하기 전 상황이 더 낫다는 말을 듣거나, 아예 개선 방향을 다르게 말하기도 합니다. 어떻게 하든 결국 빈틈은 보이고, 꼬투리는 잡힙니다. 단어 하나를 집요하게 물고 늘어지며, ""이 단어는 보통 이런 의미로 쓴다."", ""너는 지금 단어를 잘못 썼다."", ""이 단어 함부로 쓰지마라"" 등의 말을 하고 그 다음번엔 사용하지 말라하던 그 단어를 언급하며 ""이때는 이 단어를 써야 하는 것 아니냐.""는 말을 하곤 합니다. 사실 저는 개발을 배우기 전에 디자인과 기획, 컨텐츠 생산 등에 관심을 가지고 있었고 관련 공부나 일을 하기도 했습니다. 해당 경험에서 주관적인 업무에 회의감을 느껴 개발을 시작했습니다. 처음엔 회사의 방향이 마음에 들었습니다. 제가 해왔던 공부가 쓸모 없는게 아니었다는 위로를 해주는 것 같기도 했습니다. '서비스를 이해하는 개발자', '기획자와 소통하는 개발자'라는 타이틀을 꿈꾸기도 했습니다. 하지만 저는 주객전도를 원하지는 않습니다. 그래도 저는 개발자로서 스스로를 코딩하는 사람으로 정의하지 않는다고 해도 스스로 코딩을 못하는 사람이 되고 싶지는 않습니다. 저는 코딩하는 일이 즐겁고, 목표를 이루었을 때 느끼는 성취감을 계속해서 느끼고 싶습니다. 제게 이 회사가 너무 과분한 걸까요? 제 역량에는 회사의 요구가 그렇게 느껴집니다. 이대로는 개발자로 성장하지 못할 것 같고, 심지어는 개발이나 기획이 싫어질 것 같기도 합니다. 인격적으로 좋아 보여서 입사의 이유가 되었던 임원분도 더 이상 좋은 분으로 느껴지지 않습니다. 그분의 말도 이제는 가스라이팅으로 여겨집니다. 제게 이 회사가 너무 과분한 걸까요? 저는 내일부터 업무시간 외에 야근을 하지 않으려 합니다. 1시간, 가끔은 2시간씩 일찍 가던 회사에서 더는 업무를 일찍 시작하지는 않으려 합니다. 대신에 그때 개인 공부를 하고자 합니다. 회사에서 배울 수 없고, 회사에서 사용할 수도 없는 것들에 대한 공부를 하고자 합니다. 비슷한 상황을 겪어보신 분이 계실까요? 방향을 어떻게 잡으셨는지 궁금합니다."
4,비전공자,백앤드 비전공개발자 질문입니다.,"저는 공학 계열이아닌 문과+디자인계열 2년제 전문대 졸업생입니다. 수학쪽은 전혀 관련없죠..그러던와중에 1년여전부터 개발자쪽에 관심을 두고 공부중입니다만 제가 비전공이다보니 제 자신의 학벌 부분에서 자격지심이랄까요 그런게 생기더라구요..그래서 만24살 나이로 편입은 많이 늦은감이 있는건 알지만 학은제 학사학위 + 공학계열 학사편입을 준비하면서 주변에 의견을 잠깐 물었을때는 크게 두가지 반응 이었는데, 1. 개발자는 학력보다 본인 개인의 능력이 더 중요하다. 편입보다 개인 포폴과 프로젝트, 코테준비에 힘을 주거나 부트캠프를 추천해주시면서 편입 성공해도 졸업다하면 거진 30살인데 그때 개발자 신입으로 취업 준비하려면 더 힘들다..의 의견이 많았고 2. 그래도 동일계열 전공 대졸자인게 크다. 승진부분이나 비전공자면 아무래도 초반 편견이 생길수 밖에 없기도하고 초대졸,대졸 서류 제출에서부터 갈리는 부분이 있으니 만약 나중에 제 스스로가 평생 후회 할것이라면 늦어도 도전은 할 수 있을때 편입을 하는게 맞다고 하시더라고요.. 주변에 개발자 선생님?처럼 조언을 물어볼 곳도없고 가족중에도 공학계열 분들도 없으니 어디다 털어놓고 물어볼데도 없으니 애정만갖고 공부를 하다보니 새삼 참 막막하네요.. 코딩에 제가 두각을 드러내는 것도 아닌것같구요 그렇다고 포기하기에는 전공버리고 여태 공부해온게 너무 놓기가 싫습니다 ,, 물론 정확한 답은 없다고 생각합니다 그렇지만 어떻게 해야 그나마 최악보단 나은 방향성 같은 부분 조언을 부탁드려도될까요 ㅠ"
5,비전공자,"비전공자 문과생의 진로에 도움을 주시면 감사하겠습니다,,, (편입 vs 복수전공)","안녕하세요 현재 프론트엔드 및 ios개발 취업을 목표로 하고 있는 비전공자 문과생입니다 (영문과 전공, 무역학과 복수전공 중). 그냥 국비지원이나 부트캠프 같은 단기 교육으로는 개발자로서의 기반을 제대로 마련하기는 힘들 것 같아 전공자가 되고자 합니다. 저는 개발을 오랫동안 잘 하는 게 목표입니다. 현재 22살 지거국 3학년 2학기 재학 중인데 전공자가 될 수 있는 방법 중 어느 것이 좋을지 너무 고민이 됩니다… 조언 주시면 정말 감사드리겠습니다. 1. 편입 (인서울 학사편입 생각 중) 2. 복수전공 3. 전과 — 이 밑으로는 살짝 주저리입니다. — 1. 편입을 한다면 학사편입을 올해부터 준비하여 24년도 입학을 목표로 하고 있습니다. 편입은 시간도 돈도 굉장히 많이 들지만 서울 생활을 시작할 수 있다는 점과 주변 환경이 제 진로와 관련된 분야로 조성될 수 있다는 점이 있습니다. 2. 복수전공은 큰 돈과 시간을 들이지 않고도 컴공을 공부하고 학위를 취득할 수 있습니다. 복수전공을 하게 되면 5학년 1학기에 학점을 다 채우고 24년도 9월에 졸업하게 될 것 같습니다. 하고 있는 무역학과 복수전공은 부전공으로 돌릴 생각입니다. 3. 전과는 이제 4학년인 이 시점에서 편입이나 복전보다는 메리트가 없다고 생각하는데 의견 있으시면 말씀해주시면 정말 감사드리겠습니다. 물론 세가지 방법 다 4년간 전공을 한 사람에게는 못 미치겠지만 어느 방법이든 부족한 공부는 채워나갈 자신 있습니다. 제가 중요하게 생각 하는 건 전공자만큼의 CS지식과 개발자 취업준비에 용이한 주변 환경입니다. 편입은 제가 중요하게 생각하는 두 가지 다 얻을 수 있지만 시간과 돈이 너무 많이 들어 너무 비효율적이라는 생각에 망설여집니다. (공부기간 1년과 4학기 등록금 약 1800만원) 차라리 복수전공을 해서 편입 공부할 시간에 개발 관련 공부를 더 하는 게 낫지 않을까 하는 생각도 들고 ,동아리를 하면 꼭 편입이나 전과 아니더라도 주변 환경을 나의 진로 관련으로 만들 수 있지 않나 하는 생각이 들어 너무 고민이 됩니다. 꼭 답변 주시면 정말 감사드리겠습니다 선배님들,,, 8ㅁ8"
6,비전공자,비전공자 사이버대/특수대학원/부트캠프...,"안녕하세요 현재 커리어 전환을 목표로하고 있는 비전공자입니다. 개발관련하여 지식은 1도 없으나, 앱 창업 경험이 있어 대략적인 생태계만 알고 있는 정도입니다. 다만, 개발언어를 공부해본적이 없어서 사실상 노베이스라고 하는 것이 맞습니다. 현재 나이는 34세인데, 아이의 학업을 위해 40살정도에 미국으로 건너가게될 것 같아요. 미국에서 할 수 있는 일을 찾다가 평소에 관심이 많았던 개발쪽으로 커리어를 전환하기로 결심하였습니다. 지금까지의 경력은 기업 인사팀에서 약 7년정도 일한 것이 전부여서 사실상 커리어 전환에 도움이 될 것 같진 않고요 이런 상황에서 웹개발(프론드엔드)로 진로를 정하고 공부를 해보고자 합니다. 제 상황을 간략하게 말씀드리자면, 미국으로 가기 전에 가능하면 한국에서 커리어를 전환해서 최소한이라도 경력을 만들고 싶지만 처자식이 있다보니 연봉이 너무 적은 기업으로의 이직은 어렵습니다. 또한, 아이가 아직 어리기도 하고 생계 때문에라도 현 직장을 그만두고 공부에 올인하기도 어려운 상황입니다. 즉, 소득이 끊길수는 없는 상황이란 것이죠. 따라서 직장과 공부를 병행해야 하는 상황입니다. 현 직장을 그만둘 수는 없고, 이직을 할 실력은 없으나 어느정도 안정적인 IT회사로의 이직을 목표로하고 있고 최소 5년 후에는 미국으로 건너가서 석사 또는 취업을 하고자합니다. (쓰고나니 욕심이 많고 복잡하네요) 다만, 아직 5~6년이란 시간이 있어서 공부를 할 수 있는 시간은 좀 있는 것 같습니다. 아무튼 제가 알아본 바로는 특수(야간)대학원 / 사이버대학교 / 부트캠프 정도를 통해서 커리어 전환이 가능할 것 같은데요 특수(야간)대학원 : 비용도 비용인데 공부를 따라갈 수 있을까 무서움 사이버대학교 : 고려대사이버대/한양대사이버대 컴공학과 (3학년 편입) > 취업 부트캠프 : 대부분이 전업이더라구요.. 파트타임은 제로베이스 부트캠프정도인것 같습니다... 우선 제로베이스(온라인수업)을 수료하고 유명 부트캠프(우테코,소마,네부캠 등)을 들어가서 공부해서 취업하기 정도로 생각을 해보았습니다. 물론 독학도 있지만 일단은 독학 공부를 성공해본적이 없고 ㅎㅎㅎ 체계적인 커리큘럼상에서 공부를 하고싶은 마음이 있습니다. 제 상황에서 저는 어떤 선택을 하면 좋을지 지혜를 빌려주십쇼"
7,비전공자,전공자와 비전공자의 공부방향의 차이?,"요즘엔 전공무관 대학 교양으로 프로그래밍을 배우고 인문계 고등학교에서도 C언어, 파이썬을 배워오기도 합니다. 비전공자와 전공자와의 차이가 모호해지고 있다는 생각이 들기도합니다. 전공자라고해도 특히 더 잘한다는건 모르겠구요.. 컴퓨터 전공과목을 배울수있는 기회가 활짝 열려있어서 배우는것의 큰 차이도 많이없는것 같습니다. 인터넷으로도 가능하고 복전, 부전등 여러가지 방법으로 배울수 있습니다. 그냥 모두 똑같이 어려워하는것 같아요 모두가 프로그래밍을 한번쯤 맛보는 시대에서 전공자는 어떤 마인드로? 어떤방향으로 공부해야할까요? 또한 비전공자로서 교양수준으로 하는사람들은 어떤방향으로 공부해야할까요? 글이 정돈이 안된것 양해부탁드립니다 고견부탁드립니다"
8,비전공자,비전공자의 국비 or 부트캠프? 커리큘럼?,"올해 2월 졸업예정인 비전공자입니다. 대학에서 프론트, 백 둘 다 찍먹으로 배우고 개발에 관심이 생겼습니다. 백엔드로 취업을 하고자 하는데 도저히 갈피를 못 잡아서 질문 드립니다 ㅠㅠ 비전공자라 주변에 아는 개발자도 없고 주변에 같은 길을 걷고자 하는 사람도 없어 정보가 많이 부족해서요. 국비지원 받으며 학원을 다니거나 국비 지원이 되는 부트캠프를 들으려고 하는데요, 문제는 비전공자이다 보니 수십여개의 커리큘럼을 봐도 뭐가 좋은 지 모르겠다는 겁니다. 저는 비전공자 + 노베이스 인데 수강하며 뒤처지진 않을지, 혹은 제게 너무 수준 높은 커리큘럼이 아닌지 하고요. 저처럼 노베 비전공자는 어떤 프로그램을 수강하면 좋을까요... 무작정 학원들을 돌며 상담 받는 게 나을지....제가 원하는 건 기초부터 시작하는 수업을 듣고 싶습니다.. 아니면 혼자 독학 후 기초가 있는 상태에서 수강해야 하는 지도 궁금합니다. 학원, 부캠 추천도 감사드리며, 제게 맞는 커리큘럼을 찾는 방법을 알려주세요 ㅠㅠ 국비나 부캠 수강하셨던 분들의 선정 이유도 궁금해요.."
9,비전공자,비전공자 임베디드 개발 전망,"안녕하세요, 비전공자로 부트캠트 6개월 수료 후 취업 준비하고 있는 취준생입니다. 부트캠프는 비전공자분들이 대부분 수료하는 리액트 + 스프링부트로 진행하는 풀스택 과정을 수료 했습니다. 본론으로 들어가면 저는 현재, 학원 측 추천으로 임베디드SW개발(자동차) 관련 직군에서의 면접을 볼 수 있는 기회가 생겼습니다. 저는 개발하여 구현하는 것이 좋아 어떤 업무 및 기술이라도 도전을 해보고 싶어 면접을 최대한 열심히 준비할 것 입니다. 하지만 여기서 궁금한 점은 비전공자가 따라갈 수 있는 지와, 추후 중견&대기업 목표로 이직을 원하는데 비전공자가 이직이 많이 어려운 지 궁금합니다 구인구직하는 모 사이트에서 자격요건에 대부분 전공이 필수로 적혀 있더라구요 ㅜ 만약 어렵다면 포기하고 현재 제가 배운 기술 역량을 키울 예정입니다 +) 면접을 볼 수 있는 기회가 생겨 다른 기술이지만 최대한 열심히 준비할 예정입니다."
