,subject,title,content
0,신입,퇴사 후 중고신입으로 지원 vs 경력 2년 이상 채우고 이직,"안녕하세요. 저는 서비스 기업에 다니는 2년차 백엔드 개발자입니다. 최근 커리어와 관련해서 고민이 있어 글을 올립니다. 이제 만 2년에 가까운 경력이 쌓였기에, 제목과 같이 퇴사 후 중고신입으로 지원하느냐, 만 2년 이상의 경력직으로 이직하느냐를 고민하고 있습니다. 우선 회사를 떠나고자 결심한 이유는 다음과 같습니다. 1. 기술적으로 성장하기 어려운 환경 그동안 코드리뷰가 없었고, 사수도 없었습니다. 그리고 팀 분위기 자체가 서먹하고, 각자 알아서 일하는 식이라 공유도 활발하지 않습니다. 그래서 기술적인 부분은 혼자 알아서 습득하려고 노력했는데 이것도 한계가 있다고 느껴집니다... 무엇보다 코드리뷰와 같은 피드백 체계가 거의 없다보니 제가 엉망인 코드를 짜도, 제가 업무를 엉망으로 하고 있어도 무엇이 잘못이고 무엇이 개선할 점인지 자각하기 어렵다는 점이 치명적인 것 같습니다. (사실상 지금까지 한 업무도 물경력인 것 같습니다...) 그래도 사용자 트래픽이 좀 있는 편이어서 계속 남아서 일을 하다보면 실력 향상에 도움이 되지 않을까 하면서도... 그냥 도메인 지식만 좀 있는 우물 안 개구리가 될까봐 걱정이 됩니다. 2. 기초적인 실력 부족 비전공자에서 개발자로 전향하였고 그렇다보니 기초 지식이 많이 부족한 게 느껴집니다. 신입 때는 기초 지식이 부족해도 어떻게든 눈치껏 개발해서 대충 커버가 되었지만, 시간이 흐를수록 지금까지 해온 것처럼 눈치껏 개발하는 게 아니라 알고 개발해야겠다는 생각이 들었습니다. 특히 그 '알고 개발하기' 라는 게 결국 기초와 연결되어 있다는 것을 깨달았고, 그때마다 제가 기초적인 부분을 정말 많이 모른다는 걸 발견했습니다. 업무를 하면서 발견한 부족한 부분들을 틈틈이 채웠다고 생각했지만... 여전히 너무 부족한 것 같습니다. 그탓에 조금이라도 어려운 업무를 만나면 굉장히 헤매기도 하고, 또 네트워크 모임에 나가보면 비슷한 연차의 다른 개발자들에 비하면 여전히 기초가 제대로 안잡혀있다는 게 확연히 느껴집니다. (예를 들면 주로 자바, 스프링에 대한 이해도, 네트워크, CS 등...) 사실 기초 실력 부족은 계속 저의 약점이기도 했고, 그러다보니 매순간 저의 자신감을 깎아먹는 부분이기도 해서... 진짜 경력직이 되기 전에 기초를 제대로 다시 닦고 싶은 마음이 듭니다. 그래서 퇴사 후 유명 부트캠프 같은 곳을 갈까도 생각중입니다... 그래서 현재 생각중인 선택지는 다음과 같습니다. 1. 퇴사 후 약 3~6개월 공부(유명 부트캠프 목표) -> 중고신입으로 지원 2. 만 2년 이상 경력 채우고, 경력직으로 이직 사실 마음이 가는 것은 1번입니다. 경력으로 이직하기에는... 곧 만 2년이 되어 3년차가 다 되어가는데 제가 과연 그곳에 가서 경력직이란 타이틀에 맞게 퍼포먼스를 낼 수 있을지 모르겠습니다... 또 3년차 부터는 중고신입으로 지원하기도 어렵다는 이야기도 있어서, 3년차가 되기 전에 퇴사한 후, 6개월 미만으로 기초를 다잡는 시간을 가지고, 중고신입으로 지원하고 싶습니다. 하지만 저의 부족한 경험과 좁은 시야 안에서 판단했을 수도 있겠다는 생각도 들어, 이렇게 질문을 올려 의견을 구하고자 합니다. 부디 많은 조언 부탁드립니다. 감사합니다."
1,신입,"AI /ML 엔지니어가 되려면 ""지금"" 무엇을 해야할까요?","안녕하세요. 올해 4학년이 된, 인공지능 관련 학과에 재학중인 학부생입니다. 어디에든 도움을 청하고 싶은데, 이런 질문들을 할 수 있는 창구가 마땅치 않아 커리어리에 질문을 남겨봅니다. AI 관련 직무를 꿈꾸는 많은 분들이 그러하듯, 저 또한 대학원 진학과 취업의 기로에 서서 고민을 하고 있는데요. 기존에는 대학원 진학을 강하게 희망하고 있었지만 올해 들어 취업 쪽으로 마음이 기운 상황입니다. 그런데 제가 여태 대학원생이 되기 위한 준비만 해와서, 어떻게 해야 취업을 잘할 수 있는지에 대해서는 전혀 모르고 있더라구요. 공모전보다는 학부 성적 + 논문 연구에 집중해왔고, 교내외 활동을 통해 AI 관련 프로젝트 진행 경험이 몇 번 있긴 하지만 이마저도 요즘 기업에서 선호하는 종류의 프로젝트가 아닌 것 같습니다. 최근 트렌드는 LLM이나 추천시스템 쪽인 것 같은데, 저는 그동안 음성과 이상치 탐지에 관심이 많아서 이쪽을 열심히 해왔거든요. (둘 다 상당히 마이너한 분야라고 알고 있습니다.) 동향이 어떤지 살펴보고자 채용 공고를 확인해보고는 있지만 공채가 아니고서야 대부분 신입보다는 경력직, 석사 학위가 있는 사람을 뽑는 추세라 ""여기에 적힌 요구사항들이 학부 졸업 신입에게도 똑같이 적용이 되나?"" 하는 의문이 들기도 해요. 뭔가를 열심히 채워가도 학부 신입이 해봤자 얼마나 하겠어, 라는 마음으로 제 포트폴리오를 보실까 싶기도 하고... 그렇다보니 열정이나 인성 쪽을 더 우선해서 고려하시려나? 싶다가도 ""중고 신입"" 급의 경력 빵빵한 신입을 원할까 싶고... ㅜㅜ 졸업이 얼마 남지 않아 마음이 조급해지다보니 지금으로서는 막연히 이거 해야겠다, 저거 해야겠다 생각은 많은데... 채용 절차에서 어떤 부분을 중요하게 보는지, 실무진이 AI 엔지니어로서 어떤 역량을 요구하는지 알게 된다면 그런 부분들을 위주로 조금 더 확실하게 실적을 채워나갈 수 있을 것 같아요. 결론적으로, 학부 졸업 후 AI 엔지니어가 되기 위해서는 어떤 역량을 갖추어야 할지 현업에 계신 분들께 여쭙고 싶습니다. 제가 지금 어떤 활동을 하고, 어떤 부분에 집중해서 어필해야 할까요? (조금 더 구체적으로 질문을 적어보자면, 기업이 신입에게 기대하는 부분은 어떤 것이고, 그것을 어떤 형태로 어필하면 좋을까요? ""아무 대회""나 수상한다고 좋은 것은 아니겠지만, 그래도 수상 실적이 아예 없으면 마이너스가 될 수도 있을 텐데, 만약 공모전을 나간다면 어떤 류의 공모전이 좋을까요? 현재 기업이 진행하고 있는 여러 사업과 fit한 프로젝트 이력이 반드시 필요한가요? 기업의 도메인과 무관한 인턴 경력도 충분히 경력이 될 수 있을까요?) 그리고, 요즈음의 학부 AI 엔지니어들은 상술한 공모전/플젝/인턴 등의 경험을 얼마나 하고 들어가는 편인가요? 질문이 너무 많아 죄송합니다. 긴 글 읽어주셔서 감사드려요."
2,신입,신입 개발자 기술 스택 수준,"안녕하세요. 웹 개발 쪽으로 입사한 지 1년 정도 되어가는 신입 개발자입니다. 이전에 ""IT 신입 포지션 변경""이라는 질문 글을 쓰고, 많은 관심 가져주셨었는데 그 이후가 현재 상태입니다 ㅎㅎ 약 1년 정도 회사를 다니면서 요즘 궁금한 점이.. 제가 하고 있는, 또는 했었던 것들이 신입 개발자에게 요구되는 당연한 것들인지가 궁금해서 질문드립니다. 먼저, 저희 회사는 중소 기업치고는 사원수가 꽤 있는 편에 속합니다. (2~300전후) 저는 백엔드 공부 후에 어쩌다 보니 프론드 개발자로 입사했고, 추후 백엔드도 같이 맡게 될 거라 듣고 들어왔습니다. 먼저 제가 와서 사용한 기술 스택입니다. (git, postman 등과 같은 툴 또는 라이브러리는 제외) React, Next, Vite, TypeScript, Keycloak, Nginx, Docker, Jenkins, MySQL, MongoDB, Spring, JSP.. 일단.. 생각나는 건 이 정도이고, 막상 적고 보니 많은 걸 했네요.. 지식의 깊이는 물론 신입 입장이기에 깊지는 않지만, 해당 기술들을 사용하고 활용하는 부분에 있어서는 문제 될 정도는 아닌 것 같습니다. 프론트 쪽은 소규모부터 대형 프로젝트(진행 중)까지 거의 혼자? 진행을 했고..(현재 프로젝트의 서버는 시니어분이 하고 계심) 지금도 하고 있습니다. 서버 쪽은 혼자 직접 파이프라인 설계 및 빌드, 배포까지 해봤고 서버에 도커 올리는 것까지도 다 해본 것 같습니다. (물론 정말 힘들었지만 동작은 잘 됨.. 왜 되는지는 그때나 지금이나 저도 모름) 같은 개발자 친구들은 저보고 많이 하는 편이라고는 하는데, 같은 신입이라 정확히 얼마나 많이 하는 건지 감이 잘 안 옵니다. (그냥 하라면 해야지라는 마인드라..) 시니어 분도 조금씩 시키시다가 잘 해내서 점점 업무를 많이 주시는 건 알고 있는데, 현직 자분들의 생각이 궁금합니다."
3,신입,자신감 얻으라고 받은 태스크도 힘겨운데 그만둬야하는 수준인지 판단이 안섭니다,"안녕하세요 전공자지만 2.9/4.5로 졸업한, 그냥 비전공자나 다름 없는 수준입니다 졸업 후 5개월 부트캠프 들은게 전부인 상태로 웹 개발 생태계에 대한 지식과 프레임워크 기본기가 거의 없지만 학원에서 만든 프로젝트와 코테만점, 그리고 비교적 널널한 면접관님을 만난 덕에 운좋게 서비스 회사에 개발자로 취업하게 됐습니다 하지만 api나 http요청 같은 기본적인 것도 모르는 상태로 입사를 했다보니 회의나 업무 따라가기도 벅차고 다른 팀원들이 무슨 대화를 하는지 이해를 못하겠더라구요 업무요청이 와도 그 요청을 이해 못해서 꼭 업무에 대한 부과적인 질문을 해야합니다 테크 문서를 쓰거나 pr을 올릴때도 어떤 포인트가 중요한지를 저 스스로도 모르니 제가 작성하는 부분들에 대해서는 항상 “무슨 말을 하는지 잘 모르겠다” 라거나 “이 제목을 보고 어떤 기능의 pr인지 유추가 힘들다” 라는 식의 피드백을 받고있습니다 이렇듯, 가면증후군이 아닌 객관적인 시선으로 봐도 제 역량이 매우 부족한 상황인데 어떻게 해쳐나가야할지 모르겠어요 슬슬 팀에서도 저를 허위매물, 논외로 보시는 분이 한분 생기신것 같고 (원래 왔을 백엔드 개발자분이 오셨더라면.. 라는 식의 말을 한걸 들었습니다) 또 제 사수분은 저보다 두달 먼저 들어온, 저와 마찬가지로 신입이신데 그분은 사수 없이 혼자 백엔드 리드역할을 하시고 업무 대부분을 처리하십니다 저와 비슷한 년차이신데도 업무 퍼포먼스 차이가 상당한 상태에요 사수 분은 제가 아예 문맹이라고 판단하신듯 제가 가끔 질문하면 터미널 명령어 하나하나 읊어주십니다 자진퇴사를 할까 했는데 인사팀에서 오늘 명함만들어야한다고 신상정보 달라길래 또 생각이 많아지네요"
4,신입,30살 여자 신입 백엔드 개발자 괜찮은 걸까요?,"안녕하세요. 만30세 되는 비전공자 신입 개발자로 취준 중인 여자입니다. 8개월전 국비로 자바 백엔드 개발 양성 학원을 다녔고 3개월 기술지원(개발x)으로 일한 후 취준 2개월 차입니다. 개인 스펙과 함께 고민이 있어 선배님들의 조언을 여쭙고자 글을 올립니다. 제 문제점은 다음과 같습니다. 1. 그럴듯한 포폴이 없음(있어도 팀프젝에서 crud, aws s3, 배포 경험만 있음) 2. 생각하는 대로 코드 작성하는 능력 부족 3. Cs 지식 부족 (기술면접용만 암기) 4. 비전공자 해외대학원 석사학위 보유(?) 5. 나약한 멘탈 이를 해결하기 위해 1. 포폴 업그레이드 2가지 안 1) 간단한 개인 포폴이라도 1-2주 안에 완성, 포폴 업데이트 (구조적 설계를 생각하며 처음부터 끝까지 혼자 기획, 개발, 배포 예정) 2) 또는 기존 팀프로젝트로 완성된 커뮤니티 웹페이지 포폴에서 백오피스 기능 및 데이터 대시보드 기능을 혼자 추가적으로 개발 2. 정처기 자격증 공부(현재 진행 - 자격증 취업에 쓸모없다고 하시는데 저는 생각보다 이론들이 풍부해서 전공지식까지는 아니겠지만 배울 게 정말 많다고 생각하여 이론 공부하는 마음으로 준비 중입니다) + sqld 자격증 공부 3. 알고리즘 입문 문제부터 레벨업 시키며 1일 1개씩 풀기 (feat. 잔디심기) 4. 공부한 내용, 깨달은 내용 기술블로그에 적기 내가 가진 긍정적인 포인트(?) 1. 야근 ok 낮은 연봉 ok 마인드 2. 영어 회화능력 상, 영어는 그냥 자신있음 3. 문서작업 능력(기록 능력) 상 4. 고객지원 경력 3년(이건..잘 모르겠습니다) 현재 이력서 제출 현황 1. 한달 160개 이상 제출, 그 중 70군데 열람, 90군데 미열람 2. 면접까지 4곳 중 2곳 탈락, 2곳 대기 (뻥튀기 제외) 현재 까진 si,솔루션 등 모두 지원하고 있지만 앞으로는 서비스 개발(주로 웹)이 적혀있는 회사 위주로 지원할 예정입니다. 장기적인 커리어를 생각할 때 유지보수보다 작은 회사라도 개발만 하는 곳이 나을 것 같아서요. 제가 질문드리고 싶은 건 다음과 같습니다. 1. 현실적인 제 나이와 스펙, 신입으로 도전하기엔 너무 순진한 생각일까요? 2. Ai로 인해 웹개발자들의 수요가 적어지고 전망이 좋지 않을 거라는 얘기가 나오는데 신입으로 입사해도 수명이 짧을까 걱정됩니다. 물론 공부는 계속해가며 실력을 쌓을 생각이지만 선배님들의 생각이 궁금합니다. 3. 제 문제점에 대한 해결방법 중에 올바르지 않거나 개선이 필요한 부분이 있다면 가감없이 말씀 부탁드립니다 4. 여자 개발자의 경우 임신, 출산 후 경력단절이 심한가요? 읽어주셔서 감사합니다"
5,신입,프론트엔드 개발자로 1년차인 시점,"안녕하세요. 부트캠프 출신으로 프론트엔드 개발자로 취업해 중견기업에서 일한지 1년이 거의 다 되고있는 시점에서 주변에서 처음 1-4년이 중요하다는 말을 들어서 현재 저의 커리어적인 부분에 대한 고민에 대해 선배님들의 입장에선 어떤 선택을 하는게 좋은지 들어보고자 합니다. **현재 회사에서의 업무와 앞으로의 계획** - 프론트는 저 혼자로(사수없음) 백엔드 개발자 2분과 차세대 플랫폼 개발을 위한 준비단계인 프로토타입 개발중입니다. 실제 런칭하는 개발은 현재 시점으로부터 적어도 1년 반에서 2년..이 걸릴거로 보고 있습니다. (정책, 기획, 디자인 전부 미정) 고민 사항 - 실제 개발은 언젠가 이루어질것으로 보이나 기간의 불확실성때문에 1년차 되는 시점에서 이 기업에서 한다는 프로젝트만 믿고 기약없는 기다림을 하다가 퇴사하게되는건 아닌지.. 또는 한다고 하면 약 2년간은 매년 연봉상승률 4%를 감내하면서 해야되는데 그만큼 새로운 프로젝트 런칭을 할 수 있다는 경력이 중요하게 작용할지 궁금합니다. 신입의 경우 새로운 프로젝트 투입 기회가 적을수도 있다고 하는데 이 기회가 나중에 이직할때 경력에 굉장히 도움이 많이 될지 궁금합니다. 현재 이미 사용자들이 이용하는 웹사이트이며, 제가 맡게될 프로젝트는 새롭게 최신 기술들을 사용해 리빌딩을 하게됩니다. 런칭만 한다면 이미 많은 사용자들이 사용하고 있는 사이트를 제작했다는 경험이 좋은 경력사항으로 보여질 수 있을것 같은데 이 이후 더 많은 연봉협상이 가능할지 미지수이고.. 2년뒤에면 3년차인데 이 회사에서 일하게된다면 연봉계산시 3800도 안되네요… 신규프로젝트 경험 vs 연봉 인거 같은데 신입으로써 처음에는 무조건 돈보다는 실력향상이나 경험을 중점으로 회사를 보려고 했는데 막상 현실에 부딪히니 연봉도 안볼수가 없더라구요.. 특히 다른 동기들이 규모는 더 작은 스타트업이지만 이번 연봉협상시 10-14% 인상 얘기가 나오는거보면서 괜히 신경이 안쓰일래야 안쓰일수가 없더라구요. 이직을 생각하는게 맞을지 고민입니다. 선배님들이 연차를 쌓으시면서 느끼는 생각이나 경험들을 토대로 의견도 들어보고 싶습니다."
6,신입,"API 호출 시, 응답의 반환하는 방법에 대해 질문이 있습니다.","제가 했던 방식과 다른 새로운 방식을 알게 됐는데 다른 개발자분들은 일할 때 어떤 식으로 통신하는지 궁금증이 생겼습니다. 그리고 이번 기회에 다른 개발자들과 이야기해 보면서 또 어떤 방식이 있는지 알기 위해 커리어리에 첫 글(질문)을 쓰게 됐습니다. —— ***들어가기 전에*** - 신입 백엔드 개발자로 취업 준비 중입니다. - 다양한 방식으로 해보는 걸 좋아하기 때문에 장단점만 있을 뿐 정답은 없다고 생각합니다. - API 요청 시, `Reponse status code`는 클라이언트-서버와의 약속이라고 생각하고 있고, 약속을 했으면 따라야 한다고 생각합니다. - 기간이 짧은 프로젝트이기 때문에 어떤 답변이 오더라도 프로젝트에서 정한 약속을 바꿀 생각은 없습니다. 프로젝트가 끝나고 백엔드 개발자분과 리팩토링을 하면서 의견을 공유해보고 싶긴 합니다. (원하지 않는다면 어쩔 수 없고요..) ***중요*** - 글을 잘 쓰는 편이 아니라 이해가 안되거나 제 말투가 공격적이라고 느껴지는 부분이 있으면 언제든지 말씀해 주세요! - 만약 방식이 잘못됐다고 생각하시면, 그렇게 생각하는 이유와 가능하다면 경험을 공유해주세요! —— # 본문 지금까지 RFC / MDN / IT 기업 기술 블로그 등을 보고 REST API를 공부했고, 설계 원칙에 따라 모든 API 요청에 대한 Response 상태 코드를 200, 400, 401, 403, 404, 500 등과 같이 정확하게 주고받아야 한다고 생각하고 있었습니다. (물론 애매한 경우도 있었습니다) 그런데 최근 짧은 기간 동안 프로젝트를 하게 되었는데, iOS 개발자(2년차 현직)분과 백엔드 개발자(신입 개발자 취업 준비)분께서는 아래와 같은 의견을 주셨습니다. ''' 클라이언트의 입장에서 요청을 보냈을 때, 서버와 연결이 실패한 게 아니라 서버를 통해 정의된 에러 (4xx, 5xx)를 받았으니 통신에 성공한 것이다. 그러므로 API의 모든 요청(권한이 없는 사용자의 요청, 잘못된 리소스 요청, 이미 가입한 사용자가 다시 회원 가입 요청 등)의 `Response status code`는 200을 반환하고 body에 서버에서 응답한 상태 코드(3xx,4xx, 5xx 등)와 함께 커스텀으로 명시한 에러 코드(AUTH-001 등), 에러 메시지를 보내야 한다. ''' 관점을 다르게 보면 그럴 수 있겠구나 싶었고 문득 주변 개발자분들은 어떻게 구현을 하는지 궁금해져서 이야기를 나눠봤는데 그 결과는 반반이었습니다. 아직 그분들도 연차가 높지 않기 때문에 그렇게 설계한 이유와 이점에 대해 자세히 알고 계시지는 못했습니다. —— # 질문 1. 모든 요청의 Response status code로 200을 보내는 건 REST API 설계에 어긋난다고 생각하는데 이렇게 설계하는 이유와 있는지 궁금합니다. 2. 모든 API 요청의 Response status code를 200으로 보내는 방식으로 구현한다면 나중에 어떤 문제가 생길 수 있을까요? (예를 들어 웹으로 확장 등) - 현재 iOS로 개발 중이며, 확장 가능성은 없는 상태입니다. 단순하게 궁금해서 질문드립니다. 3. 만약 두 방식 외에 다른 방식으로 통신한 경험이 있으시면 그 방식을 선택하신 이유와 이점도 궁금합니다."
7,신입,2학년 학부생입니다. 객관적인 의견과 조언을 듣고 싶습니다..!!,"안녕하세요 현재 4년제 대학교 소프트웨어과 2학년 휴학중인 학부생입니다. 올해 2월에 군제대를 한 후 전공이 2학기때 열리는 이유로 휴학중이며, 올해 2학기때 복학할 예정입니다. 지금 휴학중이고 개인적으로 정말 중요한 시기라 생각이 들어 2월부터 꾸준히 공부를 해오고 있었습니다. 현재 인프런 김영한 강사님의 강의를 모두 구매하고, 고급이나 실전을 재외한 10개 정도의 강의를 완강한 상태입니다. 따라서 스프링, 스프링부트, JPA, 스프링 JPA, 타임리프 정도 해봤다라고 할 수 있을 것 같습니다. 21학번 코로나 학번이어서 개발 관련 지인이 없어 협업 프로젝트 경험은 없습니다. 개인 프로젝트로는 김영한 강사님 강의를 들으면 만들어지는 쇼핑몰 페이지를 발전시킨 정도입니다. 기본적인 회원, 상품, 주문 추가 및 수정 기능. 회원가입 과 카카오 api를 통한 카카오 회원 가입 기능 상품 좋아요 기능 상품 가격별, 좋아요, 이름 순 정렬 및 페이징 기능 관리자 페이지 기능 (관리자는 상품 추가 가능, 멤버 강제 삭제 가능 등..) 정도의 기능이 있는 것 같습니다. 코딩 테스트는 현재 백준 골드 4이며, 프로그래머스는 230문제 정도 푼 거 같습니다. 사실 래벨과 문제 양만 많지 실력은 뛰어나지 않는 것 같습니다. 프로그래머스 2단계 까지는 무난하게 풀고, 3단계부터는 1-2시간 이상 걸리거나 못 푸는 것 같습니다. 프로그래머스 기준 카카오 인턴 커트라인 언저리에 있는 것 같습니다. CS는 아직 학교에서 배우지 않았고, 유튜브와 KOCW를 통해 공부하고 있습니다. 지금은 이화여대 반효경 교수님의 운영체제 강의를 듣고 있습니다. 백엔드라는 진로는 군대에서 정했고, 군대에서는 코테와 인프런 강의를 조금 들었습니다. 지금 제 상황은 현재 이렇습니다. 군대 전역한 지 3개월 지났고, 9월 복학까지는 3개월 정도 남았네요.. 군 전역 후 3개월 열심히 공부했다고 생각하지만, 막상 하루 집중량은 많지 않는 것 같습니다. 지금은 스터디카페에서 계속 독학중인 상태입니다. 유명 개발 동아리는 몇 번 지원해봤지만, 서류에서 떨어지고 있는 상황입니다. 물론 포트폴리오나 깃허브는 정말 잘 안 되어 있는 상황입니다. 지금 고민은 공부의 방향과 방법에 확신이 들지 않는다는 것입니다. 즉, 어느 쪽에 힘을 주고 공부를 해야 할 지 모르겠습니다. 개인 프로젝트를 더 해볼까 싶지만 개인프로젝트이기 때문에 할 수 있는 생각에 한계가 있다고 생각했습니다. 개발을 하면서 특히 스프링 데이터 JPA를 하면서 이런 식의 찍먹 기술은 정말 위험하다고 생각했습니다. 페이징 처리나 정렬 처리가 너무 쉽고 간편했기 때문입니다. 영상에서 특정 스킬의 찍먹은 신입에게 도움이 되지 않는다는 말을 들어 더 그런 것 같습니다. 따라서 이런 식의 기술 스텍의 찍먹이 아닌, 서블릿부터 JDBC까지 기본적인 부분을 자세히 공부를 먼저 해야 하나 싶기도 합니다. 그래서 현재는 코테 준비와 CS 공부만 하고 있습니다. CS 강의와 코테를 공부하고 공부한 내용을 티스토리 블로그에 정리하는 형식으로 복습하고 있습니다. 지금 계획으로는 9월 복학까지 CS 및 코테 공부를 확실히 한 후, 내년 소프트웨어 마에스트로에 신청할 생각입니다. 소마는 코테 실력을 많이 본다는 점에서 좀 유리하지 않을까 싶습니다. 또 스프링 기본 지식이 필요할까봐 토비의 스프링 책도 1,2를 구매했고, 1권 절반정도 읽은 상황입니다. 사실 읽다가 너무 어려워서 포기한 감이 있습니다... 지금 다시 또 공부해야할지도 또 고민입니다. 또 최근에는 프로젝트 배포 경험이 중요한가 싶어 도커와 AWS도 기웃기웃거리고 있습니다. 글을 보시면 아시겠듯이 지금 저는 하나에 몰입하지 못하고 있습니다. 무엇을 공부해야 할 지. 하루 스케줄은 어떻게 해야할지. 지금 내가 하고 있는 공부가 맞는건지에 확신히 서지 않습니다. 특히 저는 병렬적인 공부에 취약한 것 같습니다. 사실 하나만 파는 것이 더 쉬워보입니다.. 실력있는 개발자가 되고 싶고, 평생 공부하며 발전하고 싶습니다. 목표는 졸업 후 1년 내 대기업 취업입니다. 1년 해보고 안되면 바로 경력을 쌓을 예정입니다. 졸업은 별일 없다면 25살 겨울에 할 것 같습니다. 공부에 손이 잘 잡히지 않습니다. 막막하고 답답한 기분이 요즘 많이 들고 있습니다. 열정은 있지만 정말 아는게 없네요.. 현업 개발자 선배님께 조언을 여쭙고 싶습니다. 지금 저는 객관적으로 어떤 상황이고, 무엇을 해야할까요?"
8,신입,취업 공고의 ~년 차에 준하는 수준 또는 경험은 무엇일까요?,"안녕하세요, 신입 백엔드 취업을 준비하고 있는 취준생입니다. 공고를 보고 있는데 확실히 신입보다는 경력직 공고가 많이 보이네요. 신입 공고만 지원하기에는 절대적인 공고 수가 너무 적기도 하고, 마냥 신입 공고만 기다릴 수는 없다고 판단해서 주니어 연차 (1~3년) 정도의 공고까지는 지원을 해보려고 생각을 하고 있습니다. 이런 공고를 보다보면 ""그에 준하는 수준 또는 경험을 가지신 분"" 이라는 문구가 꼭 있던데 이 기준을 어떻게 판단해야 할 지 감이 오지 않습니다. 현업에 계신 선배님들께 혹시 어떤 식으로 판단하고 접근하면 좋을 지 조언 구해봅니다. 감사합니다."
9,신입,node.js 백엔드에서 JWT Secretkey 보관 방법,안녕하세요! node.js express.js를 활용하여 백엔드를 개발중인 신입 개발자입니다. 앱 개발을 하고있는데 unity 프론트와 api통신을 해야하는 상황입니다. JWT를 활용하여 로그인 처리를 하고있는데 unity프론트와 API통신하면서 JWT때 사용하는 secretkey값을 공용으로 사용하고싶은데 혹시 실무에서 주로 처리하는 방법이 있을까요?? 보통 앱개발에는 안드로이드 keystore로 처리한다고도 하던데 서버단과 unity 클라이언트단 JWT secretkey를 같이 사용할 수 있는 방법 질문요청드립니다...! 헷갈리는부분... API 통신시 클라이언트단에서 로그인하고 유효성검사하고 암호화해서 api 통신하는 방식으로 흐름이 되는게 맞나요..?? 그리고 서버단에서 복호화해서 암호화하고 저장 api 통신시에 탈취가능성이 있지 않나는 클라이언트분의 말을듣고 위와 같은 질문을 드립니다... 제가 헷갈리는 부분인건지 아니면 api 전송시에는 암호화가 되지않아도 보안에 이상이 없는건지 서버단에서만 jwt 암호화 처리를 하면되는건지.... 이 부분은 어떤 흐름대로 이해하고 가야하나요?? ㅠㅠㅠ 너무 초보같은 질문이지만 질문드립니다..
