,subject,title,content
0,연봉,업무 평가 최하점인 동료와 연봉이 90만원 차이... 도저히 납득 되지 않는데 정상일까요?,"안녕하세요! 요즘 날씨가 점점 추워지고 있는데 다들 따뜻하게 잘 지내시는지 궁금합니다. 저는 이제 3년 차에 진입하고 있는 주니어 개발자입니다. 신입때부터 쭉 돈 욕심보다는 내 코드로 누군가 편리해지고, 기뻐하는 것을 낙으로 삼고 일했는데 정작 숫자를 눈앞에 두고 비교하는 일이 생기니까 신념이 조금 흔들리기 시작했습니다. 시간은 며칠 전으로 거슬러 올라... 저랑 15일 차이로 같은 팀에 입사한 동료랑 고민 상담을 하다가 서로 연봉을 털어 놓게 되었습니다. 제가 더 많이 받긴하는데 평소 담당하는 일이나 업무 평가에 비해 연봉이 90만 원 밖에 차이가 나지 않았습니다. 월급도 아니고 [연봉]이요... '그래... 2년 차 동기끼리 차이가 나봤자 얼마나 차이가 나겠어...' 라고 생각하고 납득하려 했지만 몰려드는 업무와 매일 칼퇴하는 동료를 보니 '조금... 너무한거 같은데?' 라는 생각이 들어 다른 분들의 생각도 저와 같은지 궁금하여 질문을 남겨봅니다. ( ㅠㅠ) 부서, 보직, 경력 모두 동일하고 평소 맡는 일과 평가는 아래와 같습니다. 가능한한 업무 평가서를 참고하여 작성했습니다. 너무 심하게 주관적인 평가는 제외했습니다. -------------------------------------------------------------------- 저 ( 경력 2년 6개월 ) - 중/소 규모 컨텐츠 개발 - 계정 연동, 광고 및 마케팅,결제 관련 기능 개발 및 유지 보수 - CI/CD 시스템 유지 보수, 문제 대응 - 기획, 디자인 등 다른 부서의 기술 지원 / 툴 개발 - PL님의 반기 평가 상/중/하 에서 '상' 을 받았습니다. 동료 ( 경력 2년 6개월 ) - 소규모 컨텐츠 개발 - 사소한 버그나 누락사항이 많아서 신입 때와 달라진게 뭐냐는 질책을 받았습니다. - PL님의 반기 평가 상/중/하 에서 '하' 를 받았습니다. ( + 연봉 상승분 감액 , 권고사직 위기 ) - 팀장님의 신뢰를 잃어서 일정 수준 이상의 작업은 잘 맡지 않게 되어 제 업무를 떼어줄 수 없는 문제가 있습니다. -------------------------------------------------------------------- 월급 단 돈 7만 5천원 차이로 동료가 워라밸 다 챙길 때 밤 늦게 까지 남아서 머리를 부여잡고 있으려니 의욕이 싹 사라지네요. 저도 퇴근하고 운동하고 취미 생활도 하고 싶은데 헤헤 요즘 자꾸 드는 생각이 '내년 연봉을 딱 기본 값 만큼 올려주고 치우려고 하면 관두자!' 네요. ( 저희 회사는 연봉 '협상' 이 아니라 연봉 '통보' 이고 기본 값 만큼 올렸다는 것은 동료와 연봉 차이가 현상 유지되는 것이므로... ) 현재 상황에서 불합리함을 느끼는 게 정상적인 반응인지, 이러한 상황은 어떻게 대처하면 좋을지 궁금합니다. 생각이 잘 정리가 되지 않아 상황 설명이나 글의 짜임새가 엉망진창인데 여기까지 읽어주셔서 감사합니다. 행복한 하루 되세요!"
1,연봉,연차에 비해 높은 연봉 이게 맞을까요?,"연차에 비해 다소 높은 연봉을 받고 있는데 회사 규모는 매우 작습니다. 연차: 만 2년 계약 연봉: 6600 회사 규모: 10명 미만 업무 강도: 중 복지: 점심식사 제공, 재택 근무 주 2회, 건강복지비 월 10만원 등등 앱 개발을 하고 있는데 이 회사 이후에 대기업을 갈 때 혹시 연차에 비해 높은 연봉이 걸림돌 되진 않을지, 그리고 규모 작은 기업에서 높은 연봉 받는것보다 최대한 빨리 대기업으로 이직하는게 나을지 고민됩니다. 주변 말로는 연차에 비해 높은 연봉을 받으면 연봉 협상할 때 결렬될 확률이 높아서 이직하기도 어렵다던데.. 아무래도 요즘 불경기이고 스타트업들은 직격탄을 맞은 상황이라 좀 불안해서 준비하려는데 걱정이 되네요. 아직 회사 상황이 명확히 안좋아졌다 이런건 아니지만 역시 최대한 빨리 대기업으로 뜰 준비하는게 맞겠죠..?"
2,연봉,경력직의 연봉협상!,"혹시 경력직으로 이직하신 분들 중에..! 2차 면접가서 연봉협상으로 이야기할 때 점심식대는 포함인지, 포괄근무제 인지, 복지는 무엇무엇인지 물어보고나서 연봉협상해도되나요? 아니면 연봉협상 이야기로 연봉이 정해진다음 그뒤에 복지나 포괄근무제, 퇴직금 정산방법 등을 물어봐야 할까요? 다른 분들은 연봉협상시 어떤 것들을 물어보고 연봉 결정하시나요? 연봉협상 관련 조언이나 팁도 마구 부탁드립니다🥹🥹"
3,연봉,퇴사 생각하고 있는데 맞는건지 잘 모르겠습니다.,"안녕하세요. 이제 막 5년차 들어가는 개발자입니다. 연봉은 영끌해서 5천초반정도 받고 있는거 같습니다. 신입때랑 비교해서 연봉이 거의 2배정도 올랐던거 같구요. 저번년도부터 해서 퇴사생각을 계속 하고 있었고, 아직까지도 명확하게 꼭 해야한다는 결론이 나질 않고 있습니다. 사실 연차로만 보면 이직할 타이밍이기도 하구요.(거의 1년~1년반정도 생각하고 있습니다.) 지금 다니고 있는 회사는 첫 회사이고 규모도 어느정도 있는 회사입니다. 일하면서 사람때문에 힘든적은 없던 거 같고 제가 생각하기에 친한사람은 없긴하지만 나름 두루두루 잘 지내는거 같습니다. 인사평가도 평균보다 좋은거 같고(제 생각일수도 있겠지만..) 팀장님께서도 평소에 잘해주십니다. 특별하게 머라고 하신적도 없으시구요. 제가 생각하기에 해당 회사(혹은 팀)의 문제점입니다. 1. 서비스 혹은 고도화가 되어야 한다면 그거에만 만들기에만 급급함 해당 부분은 팀의 문제일수도 있습니다. 개발자라면 코드의 질이라던가 기술적인 문제를 서로 의논하는 그런 부분이 있어야 하는데 그런 부분은 거의 없고, 일정일에 맞춰서 서비스(혹은 고도화) 하기에만 급급한거 같습니다. 코드리뷰를 잘 안하는것도 그렇고, 코드리뷰를 해도 서비스 관점에서의 피드백만 받습니다. 물론 그 부분도 중요하겠지만 저는 코드 혹은 테크니션에 대한 디테일한 부분(혹은 설계)을 좀 더 피드백을 받고 싶은데 개인적으로는 아쉬운 부분인거 같아요. 그래서 소스를 보면 소스가 깔끔한건 기대를 안하겠지만, 아무리 이해를 하려해도 이해하기 힘들다던가 소스관리가 제대로 안되는 거 같아요.그리고 여전히 svn 혹은 php 5 대로 사용하는 서비스도 은근히 많아요. 그냥 무조건 서비스기능이 되어야 한다는 마인드 같은데, 다르게 생각하면 서비스를 빨리 출시해야하니까 일정일에 맞춰야하기에 어쩔 수 없는 부분도 있는것도 이해는 하지만.. 다른 기업에서는 어떻게 하는지 잘 모르겠네요. 그래서 제가 개발을 해도 제대로 코딩을 하는건지 알수가 없습니다. 심지어 시니어들이 의외로 많은 곳인데도 이러한 피드백이 오고가진 않았어요. 저는 이제 주니어가 아니지만, 주니어가 해당 팀에 가서 성장하기에는 적합하지 않는 곳이라고 생각들어요. 제가 알아서 성장을 해야하고 살아남는다는 식으로 일해야 합니다. 2. 야근이 심함 (결정적인 이유) 처음부터 야근이 심했던건 아니였고(가끔씩 야근은 있었지만 별로 문제될건 아닙니다.) , 최근 2-3개월전부터 좀 심하기 시작했는데 야근은 그냥 디폴트이고(12~ 새벽 3시), 주말까지도 출근을 해야 겨우 끝나는 수준인데요. 거의 매일처럼 하고 있는데, 가끔씩은 그게 누적되어서 한번씩은 일찍 퇴근하자마자 잘때도 있습니다. 그냥 1-2주일정도 풀야근을 하면 그려러니하는데, 3주차 이후부터는 지쳐서 그런건지도 모르겠지만 기존에 했던일도 그냥 다 하기가 싫어집니다. 일정도 야근을 하더라도 납득이 갈정도로 일을 주면 그려러니 하겠는데, 요새는 제가 생각하기에 납득이 안되는 정도로 일을 주시니 (제 쪽에서 일을 못끝내면 다른 분들이 개발을 하지 못하는 분들이 생기는 구조라 최대한 빨리 제쪽에서 끝내야 합니다.), 이렇게 일을 주는게 맞나 싶습니다. 현재 팀이 중간 연차가 저랑 몇명말고는 없고 거의 주니어급만 있어서 일을 못시키는 상황이라 메인급은 사실상 저에게 거의 몰빵되어있는 상황입니다. (정확히 말하면 중니어는 거의 없고 시니어와 주니어만 밀집되어있는 상황이고, 자바를 제대로 사용할 수 있는 시니어가 거의 없는데 새로 나오는 플젝은 자바만 사용해야 하는 상황입니다.). 앞으로 이런식으로 계속 일을 준다면 좀 많이 힘들거 같아요. 현재도 사람이 부족해서 사람(3년차 이상)을 뽑고 있는데 안 오고 있는 상황입니다. 3. 연봉문제 해당 부분도 1,2번에 비하면 아무것도 아니지만 의외로 문제가 있다고 생각해서 적는 부분입니다. 가끔씩 블라인드를 들리긴 하는데, 비슷한 규모 혹은 저희 회사보다 작은 규모인데도 불구하고 연봉이 저보다 많이 받는 경우가 부지기수더라구요. 심지어 제가 받는 연봉은 포괄이기도 합니다. 야근을 하던 안하던 고정된 월급을 받는격이 되는거죠. 물론 평소에 야근을 거의 안하는 부분인거면 그려러니 하겠는데 사실 저희 회사 몇명은 이런 부분때문에 퇴사하는 분들이 의외로 됩니다. (댓글보면 염전노예냐고 말씀하시는 분도 계시네요) 어느정도 성과가 나오면 어느정도 연봉을 올려줘야 하는데 그것도 아닌거 같고..(그게 아닌거라면 퇴사를 거의 하지 않겠죠) 암튼 그렇습니다. 물론 단점도 더 있긴한데, 이야기를 더 하면 어떤 회사에 다니는지 대충 알거같아서 언급을 안했고요(물론 해당 단점은 그려러니하고 지냅니다.) 이러한 단점에도 불구하고 이직을 아직도 마다하는 이유는 사실 사람 + 야근 때문에 그러는데요. (나머지 단점에 대해서는 어느정도 감안을 하고 있습니다.) 저는 이 회사에 오기 전까지는 오랫동안 사람한테 많이 치이고 상처도 많이 받았었는데요.(그래서 사람 만나는 거 자체를 별로 좋아하지 않는 성격이고 친구가 아예 없습니다). 신기하게도 저를 괴롭히고(혹은 욕하거나) 한 사람도 없는것도 신기했고, 여기 회사와서는 말도 많이 할려고 하는 편이고 두루두루 잘 지낼려고 하는 편인거 같아요. 직장인들중에 퇴사하는 가장 큰 이유가 사람때문인건데 이직을 하게 되면 사람에 대한 리스크가 있지 않을까 생각이 좀 들긴하지만 한편으로는 개발자로써 좀 더 성장하고 싶은 생각도 들어요. 만약 이직을 하게 되면 사실 다른 회사에서도 야근을 현재보다 덜 한다는 보장이 없긴하자나요. 연봉을 주는건 둘쨰치고 지금보다도 야근을 더 하게 된다면... 제가 생각하기에는 이직을 잘못한거라고 생각할거 같아요. 지금도 꾸역꾸역 버티고 있는 상태에서 일을 하고 있는데 현재보다 더 한다고 하면... 제가 못 버틸거 같아요. 이게 제가 생각한 2번째 걱정이구요. 그래서 이직하는 거 대비해서는 1년전부터 꾸준히 스터디 같은 데 들어서 공부를 하고나 스터디카페 가서 정기권 끊어서 혼자서 공부하긴 했었습니다. 스터디장이 되서 스터디 꾸려서 사이드 플젝 1-2번정도 하기도 했구요. (사실 이 쯤해서 개발 실력이 갑자기 급상승한거 같아요) . 현재는 야근이 심해서 못하는 상황이긴 하구요. (바쁜 상태에서 스터디 운영하기에는 죄송스럽기도 해서요) 만약 여유가 된다면 스터디 다시 꾸려서 할 생각이구요. 전반적으로 제가 겪고 있는 생각/상황을 이야기 했구요. 지금 잠깐 야근을 했다고 이직하는 것도 살짝 웃기기도 하고, 다른 분들의 생각이 궁금하긴 합니다. 긴 글 봐주셔서 감사합니다."
4,연봉,만 3년차 풀스택 개발자 연봉협상에 대해 옳은 고민을 하는 건지 선배님들의 의견 부탁 드립니다.,"안녕하세요 2021년도에 프론트앤드로 입사해서 작년부터는 백앤드까지 업무를 맡고있는 만 3년차 개발자입니다. 고졸로 학원에서 6개월 국비 과정을 수료하고 현재 재직중인 회사에 입사해서 2021년도 2,840만원 2022년도 3,000만원 2023년도 3,120만원 + 월세 지원 50만 위와 같이 연봉 인상 및 복지로 지급된 부분이 있었고, 올해 들어와서 연봉협상에 관련해 대표님께 말씀드리니 작년에 월세 인상분(처음에 37.5만원 지원에서 50만원으로 인상)이 있으니 올해는 동결이라고 답변을 주셨습니다. 일단은 계약서에 싸인은 하지 않고 이런 저런 생각이 많아지는데 재직중인 회사에 대해 말씀 드리자면 - 5인 미만 소기업(입사할 때는 스타트업이였음) - 21~22년도에 저 이외에 스쳐지나간 4명 직원이 있었으나 22년도 10월을 기준으로 현재는 저 혼자 풀스택 업무를 보고있습니다.(3명 권고사직, 1명 사업지 이동으로 인한 퇴사) 21년도 말부터 자사 서비스 개발외에 외주를 받기 시작해(외주를 받기 시작한거는 대략적으로 회사 자금 조달을 위해 시작한걸로 알고 있습니다) 22년도 10월에 들어서는 외주업체의 요청으로 사무실을 임시로 이전하였고(월세 지원이 대표님께서 월세 지원해줄테니 같이 가자하셨습니다+지나가는 말로 대표님들 사이에서 지분계약이 있는 걸로 들었습니다.) 약 1년간 프로젝트를 진행한 끝에 투자유치까지는 아니더라도 정부 공공기관 스타트업 지원 사업에 선정될 수 있었습니다 스타트업 지원사업에 선정된게 개발한 프로젝트가 돈이 되는 프로젝트가 된 것이 아니라는 것은 알고 있지만 혼자 해낸 것은 아니지만 그래도 나름의 의미있는 성과를 냈다고 생각했는데 지지부진한 연봉인상과 올해 동결이라고 아무렇지 않게 이야기하는 모습을 보니 허탈하기도 합니다. 현재 생각이 많아진다고 아직 정리가 안되었다고 말씀드린 뒤 계약서 사인은 보류해두었습니다 개발자로써 첫 회사이고 비교군이 없어 생각의 방향 자체가 옳은지는 모르겠지만 제가 올해부터 받고 싶고, 적절하다고 생각되는 연봉은 월세 지원을 제외하고 3,600~4,200만원선입니다. 이외에 복지부분은 불합리하다고 생각드는 부분이 없는데 제가 희망하는 연봉이 타당한 정도인지에 대한 의견과 연봉협상을 이야기 할 때 꿀팁 부탁드립니다."
5,연봉,신입 ios 개발자 연봉과 근무지 선택,"안녕하세요, 풀스택 개발자로 1년 근무하다가 퇴직하고 swift를 공부해서 한 중소기업에 입사 통보를 받은 신입 iOS 개발자입니다. 이 부분과 관련해서 고민이 있어 질문 남깁니다 현재 스펙: 4년제(전문대 + 학점은행) 비전공자, 1년 풀스택 근무 경력, 정보처리 산업기사, 해외 경험 1회(일본 워킹홀리데이) 기타: 앱 스토어에 출시한 어플 1개, 풀스택 개발자로 근무 당시 두 플랫폼 어플 출시 경험, 기술 블로그 A. 현재 입사 예정인 중소기업 - 연봉 3000 B. 면접 예정 중소기업(채용 확률 높음) - 연봉 미정 A 기업의 경우에는 입사 확정이고 사수 없이 신입인 저 혼자서 iOS 부분을 담당 B 기업의 경우에는 정확하게는 모르겠지만 금융 관련 어플을 다루고 훗날 대기업 이직에 도움될 기술을 사용하고 있는 것으로 예상, 사수도 있을 걸로 예상 B기업의 근무자 평균 연봉을 찾아보니 3000보다는 높게 나오는 걸로 확인했습니다(3200) 물론 고위직의 연봉이 많이 높아서 평균이 이렇게 나온 것일 수도 있겠습니다만 희망 연봉 언급을 할 때, 이 회사의 평균 연봉을 어필해봐도 될지 궁금합니다"
6,연봉,희망연봉 제시하라 했을때 태도,안녕하세요 늘 커리어리에사 좋은 정보 얻고 있습니다. 저는 백엔드 개발자를 꿈꾸는 사람입니다 좋은 기회가 생겨 한 중소 si회사의 1차 면접을 통과하고 2차 면접을 기다리고 있습니다. 희망연봉을 제시하라고 하는데 저는 개발자로는 첫 직장이니까 채용공고에 적힌 최저 연봉을 제시해야할까요? 다른 업계에 2년 정도 종사한 경력이 있으니 200절도 업 해서 말씀드려야 할까요 더불어 이미 연봉테이블이 있을텐데 희망연봉을 그보다 낮게 말하면 그냥 거기에 맞춰서 낮춰 주나요? 사실 희망연봉 괜히 높게 말해서 탈락할까봐 떨고 있는중인데... 그래도 최저에 맞추기에는(직전 타업종 연봉보다 적어서) 망설여지고... 관련된 혜안 있으신분들 있으면 조언 여쭙겠습니다 건강조심하세요 감사합니다
7,연봉,프론트엔드 개발자로 1년차인 시점,"안녕하세요. 부트캠프 출신으로 프론트엔드 개발자로 취업해 중견기업에서 일한지 1년이 거의 다 되고있는 시점에서 주변에서 처음 1-4년이 중요하다는 말을 들어서 현재 저의 커리어적인 부분에 대한 고민에 대해 선배님들의 입장에선 어떤 선택을 하는게 좋은지 들어보고자 합니다. **현재 회사에서의 업무와 앞으로의 계획** - 프론트는 저 혼자로(사수없음) 백엔드 개발자 2분과 차세대 플랫폼 개발을 위한 준비단계인 프로토타입 개발중입니다. 실제 런칭하는 개발은 현재 시점으로부터 적어도 1년 반에서 2년..이 걸릴거로 보고 있습니다. (정책, 기획, 디자인 전부 미정) 고민 사항 - 실제 개발은 언젠가 이루어질것으로 보이나 기간의 불확실성때문에 1년차 되는 시점에서 이 기업에서 한다는 프로젝트만 믿고 기약없는 기다림을 하다가 퇴사하게되는건 아닌지.. 또는 한다고 하면 약 2년간은 매년 연봉상승률 4%를 감내하면서 해야되는데 그만큼 새로운 프로젝트 런칭을 할 수 있다는 경력이 중요하게 작용할지 궁금합니다. 신입의 경우 새로운 프로젝트 투입 기회가 적을수도 있다고 하는데 이 기회가 나중에 이직할때 경력에 굉장히 도움이 많이 될지 궁금합니다. 현재 이미 사용자들이 이용하는 웹사이트이며, 제가 맡게될 프로젝트는 새롭게 최신 기술들을 사용해 리빌딩을 하게됩니다. 런칭만 한다면 이미 많은 사용자들이 사용하고 있는 사이트를 제작했다는 경험이 좋은 경력사항으로 보여질 수 있을것 같은데 이 이후 더 많은 연봉협상이 가능할지 미지수이고.. 2년뒤에면 3년차인데 이 회사에서 일하게된다면 연봉계산시 3800도 안되네요… 신규프로젝트 경험 vs 연봉 인거 같은데 신입으로써 처음에는 무조건 돈보다는 실력향상이나 경험을 중점으로 회사를 보려고 했는데 막상 현실에 부딪히니 연봉도 안볼수가 없더라구요.. 특히 다른 동기들이 규모는 더 작은 스타트업이지만 이번 연봉협상시 10-14% 인상 얘기가 나오는거보면서 괜히 신경이 안쓰일래야 안쓰일수가 없더라구요. 이직을 생각하는게 맞을지 고민입니다. 선배님들이 연차를 쌓으시면서 느끼는 생각이나 경험들을 토대로 의견도 들어보고 싶습니다."
8,연봉,신입 개발자 첫연봉 고민입니다!,"안녕하세요 전문대학교 컴퓨터공학과 나와서 전공심화를 진행중인 학생입니다! 현재 이 문제로 고민이 많아 짧지 않은 글이지만 꼭 읽어봐주시고 답변해주시면 감사하겠습니다! 교수님 추천으로 이번 방학 인턴 근무를 시작하게 되는데 말이 인턴이지 취업의 연장선으로 소개 시켜주시는 것 입니다. 흔히 조기취업 이라 불리죠 저는 전공심화 졸업예정자 즉, 학사 학위를 갖고 취업을 하는것 이고 소개 시켜주신다는 회사는 학사 학위 기준 앱개발자로 소개 시켜주신다고 하셨고 채용분야는 si사업부에 연봉 3000~3100 으로 시작하는 것을 확인했고 찾아보니 비전공자들도 부트캠프나 학원 등 3000시작하는 경우가 많다 하더라구요.. 비전공자를 비하하려는건 아니지만 저는 전공자이고 전공심화를 통해 1년을 더 공부하여 총4년을 공부함에도 불구하고 비슷한 연봉으로 시작하면 아쉬울 것 같아서요.. 아무래도 개발자는 첫 연봉이 중요하다 들어서 고민이 많이 생깁니다😢 검색을 했을때 저와 비슷한 경우의 고민도 없어서 이 연봉이 높은지 낮은지 기준점을 잘 몰라서 여쭤봅니다! 개발자 첫 연봉 3000! 어떻게 생각하시나요?! 글 쓰는 솜씨가 부족해 제가 하고자 하는 말이 잘 전달이 되지 않았을 수도 있습니다만 질문 있으시면 편하게 물어봐 주시고 좋게 읽어주시면 감사하겠습니다☺️ 좋은 하루 되세요!"
9,연봉,[연봉협상] 이직회사가 전 회사보다 연봉테이블 낮을때,"연봉 협의 단계입니다. 이게 맞으면 최종합격 안내해준다고 하더라고요. 전 직장: 6년차, 총 5300만원 (기본급 4600만원 + 성과급 등등) 지원서에는 기본급만 적었다 보니 제 총 연봉 듣고선 내부 직원 보다 높다고 하더라고요. 내부 직원과의 형평성도 맞춰야 하다보니 연봉테이블 조절 어쩌고 하던데 딱 드는 생각이 연봉 협상 높게 할 수 없겠구나 싶더라고요 ㅠ 메일로 원천징수영수증과 급여명세서 달라고하는데 그때 희망연봉을 어느정도로 적어야 할지가 고민입니다. 5700정도로 생각했는데, 너무 높게 했다가 까일까봐 걱정되기도 하고요~~ 너무 답답해서 글 남겨보아요~"
