,subject,title,content
0,이직,(물경력) 퇴사 후 이직 vs 환승이직,"안녕하세요 의료기기 기업에 약 1년 반동안 재직중인 sw 연구원입니다. 제목에서 말씀드린 퇴사와 이직에 대해 고민이 있어 질문 드립니다. 입사 당시, 주 업무가 신제품 개발 및 개발 문서 작성인 펌웨어 개발자로 들어왔습니다. 이직을 생각하는 이유는 물경력과 직무 전환때문입니다. [물경력] 현재 회사에서 하고 있는 업무는 개발과 관련은 있을 수 있으나, 개발자로서의 역량이 필요한 업무가 아니라고 생각합니다. 개발중인 제품을 검증하는 일이 업무의 80%를 차지합니다. 코드를 보는 일은 거의 없고 기껏해야 간단한 오류를 수정합니다. 나머지 20%는 개발 문서 작성을 합니다. 물론 회사의 성장도 중요하지만 개인의 성장도 중요한데 제품 검증을 주로 하기엔 개인의 성장이 없어 일년 반 동안 일을 한것이 전부 물경력이라고 생각이듭니다.. [직무 전환] 의료기기 회사다 보니 한 제품의 개발 과정에서 90% 이상이 문서 작업입니다. 개발 문서를 잘 작성하는 것도 물론 중요하지만 개발(코딩)은 거의 없이 문서 작업만 이루어지고 사수나 팀장님을 그것이 의료기기 회사 특성이라고 합니다. 하여 백엔드로의 직무 전환을 결심했습니다. 물경력과 직무 전환으로 이직을 하고 싶고, 이를 위하여 퇴근 후 백엔드 개발자로서의 역량을 키우기 위해서 공부를 하고 있습니다. 3개월 동안 진행한 결과 퇴근하고 공부를 하기엔 시간이 너무 부족하다고 생각이 듭니다.. 다른 사람들과 달리 경력 이직아닌 중고신입으로 이직을 하는 것이 그 이유일까요 주위에서 퇴사 후 이직은 안된다 무조건 환승 이직을 해야 한다고 하지만 저는 회사에 있는 시간이 너무 아깝습니다. 그 시간이면 공부도 더 할 수 있고 이직까지의 기간도 줄어들어 같다는 생각이 계속 맴돕니다. 경력이직이 아닌 직무전환인 이직에서 환승이직이 나을까요 아님 퇴사하고 이직하는 것이 나을까요? 부디 시간을 내어 의견을 주시면 감사하겠습니다."
1,이직,새로운 개발언어/직군으로 이직시 어떤 준비를 하시나요?,"안녕하세요. ERP 개발자로 2년 좀 안되게 재직중인 주니어입니다. 현재 ERP자체 프로그램과 MSSQL만을 이용하고 있습니다. 일을 하다보니 다양한 개발언어를 사용해보고 싶어서 + ERP 개발 외 다른 직군도 경험해보고 싶어서 이직 준비를 해보려고 합니다.(첫 이직준비 입니다. 신입으로 이직하려고 합니다.) 언어는 C나 JAVA 쪽으로, (C는 아예 처음부터 공부해야하고, 자바는 국비학원에서 배운 것이 전부입니다.) 직군은 아직 찾아보고 있는 중입니다. 혹시 선배님들 중에 새로운 언어를 공부하셔서 이직하셨던 분이나, 새로운 직군으로 이직하신 분들이 계신다면 1) 어떤 준비를 하셨는지(언어공부, 포트폴리오 등) 2) 언어나 직군은 어떻게 고민하고 선택하셨는지 3) 첫 이직을 위한 조언 여쭤보고 싶습니다. 감사합니다 !"
2,이직,대기업의 개발 조직문화가 고민입니다. 스타트업으로 이직해야 할까요?,"안녕하세요. 스타트업에 1년, 대기업에 2년정도 다닌 4년차 개발자입니다. 조직이 마음에 들지 않으면 당신의 조직을 바꾸거나, 조직을 바꾸라 는 말이 있습니다. 저는 제 몸담은 조직을 바꾸는 시도를 많이 했습니다. 사적인 친목 자리를 만들거나, 주도적으로 참여할 수 있는 회의 방식을 도입하거나, 워크샵을 진행하는 등 지속적으로 모두가 주도적으로 일하고 함께 성장하는 환경을 만들고자 했고, 감사하게도 경직되어 있던 조직 분위기가 많이 개선되었습니다. 그러나 이러한 변화에도 만족하지 못하고 있는 부분이 생겼는데, 이 부분이 대기업의 어쩔 수 없는 문제라고 치부해야 할지 고민입니다. 1. 더 친해질 수 있을까 리더 분께서 긍정적인 피드백을 주지 않는 편입니다. 다른 팀원들도 인정욕구가 있는 편인데 사기가 떨어진다는 말을 저에게 하더군요. 다른 문제면 말을 해서 해결했을 텐데, 좋게 풀어나갈 자신이 없습니다. 주제넘은 말이 되지 않고 잘 풀어나가려면 지금보다는 좀더 막역한 사이가 되어야 할 거 같은데, 대기업치고는 이미 충분히 친하고 자유로운 분위기인데 이게 맞는지 스스로 확신이 들지 않습니다. 2. 암묵적인 지시 최근 일을 할 때 무력하다는 느낌을 많이 받습니다. 원인은 다양하지만, 핵심적인 내용은 하나입니다. 자유롭다 라고 이야기하지만, 실제로는 회사, 상위 조직, 조직장의 결정을 따라가게 됩니다. 물론 강요하는 사람은 아무도 없고 근거를 가지고 적극적으로 주장하면 바꿀 수 있지만, 매번 혼자만 총대를 매는 것이 현타가 옵니다. 아무도 불만이 없는데 나만 태클을 걸어서, 회의를 길게 만드는 빌런이 된 거 같습니다. 대기업에서는 원래 이게 당연한 건데 이런 고민을 하고 있는 제가 이상한 사람이 된 거 같습니다. 대기업의 개발문화가 스타트업에 비해 경직될 수밖에 없는 이유가 있지만, 그럼에도 불구하고 현재 조직의 분위기는 자유로운 편이라 자부합니다. 새로운 것, 고치고 싶은 것을 자유롭게 제시하고 시도할 수 있고, 일단 시도하면 적극적으로 지원해 줍니다. 팀원들은 필요한 경우 의견을 많이 내 주고 호기심과 실행력도 좋습니다. 조직이 변하면서 점점 적극적으로 변화하는 모습도 보이고, 능력은 다들 뛰어납니다. 그래서 많은 것을 시도하고 배울 수 있는 환경이었고, 만족하며 다녔습니다. 이 조직에 큰 애정을 갖고 있고, 이직해도 이런 조직을 만나기 쉽지 않을 거라는 걸 압니다. 하지만 지금은 이런 생각들 때문에 일과 성장에 대한 동기부여가 안 되고 있어서 벽을 느낍니다. 더 주도적으로 일하고, 내가 하는 일의 가치를 찾고 싶습니다. 대기업에서 조직문화를 더 바꿀 수 있을까요? 아니면 제가 바꾸고 성장할 수 있는 다른 조직을 찾아야 할까요?"
3,이직,이직 준비를 하는 게 맞는 것일지 인생 선배님들의 조언을 듣고 싶습니다.,"안녕하세요. 저는 현재 첫 회사에서 근무한 지 약 2년 정도 되는 만 2년차 개발자입니다. 저의 상황을 말씀드리면 저는 2가지 이유로 오랜 시간 고민 끝에 개발자를 더 이상 안하기로 결정했습니다. 1. 평생 공부의 부담감이 개발로 얻는 행복보다 더 큼 2. 현재 팀의 수준 낮은 실태에 대한 매우 큰 실망과 커리어가 꼬였다는 허망함. 현재는 재직하면서 이직 준비를 하려고 이력서를 작성해보려고 하고 있습니다. 더 이상 안하기로 결정했는데 ""이직 준비를 왜 하지?"" 라고 생각이 드실 것 같습니다. 준비하는 이유는 크게 2가지 이유가 있습니다. 1. 현재 팀이 아닌 다른 실력 있는 조직을 경험해보고 그만두고 싶은 마음 (이 직업을 안하기로 결정했지만, 이 첫 회사로 이 직업을 그만두기엔 미련이 남을 것 같아서) 2. 조직을 옮겨도 개발자를 더 이상 안하기로 한 마음이 변하지 않는다면 그 새로운 조직에서 일하면서 다른 진로를 찾기 (다른 조직에 가도 앞으로 개발자를 안할 것이라는 결정은 동일할 것 같습니다. 다만 지금보단 연봉이 높을 것이니깐 이렇게 생각을 했습니다.) 하지만, 이직을 하려면 현재 회사에서 해온 것 외에도 개인적으로 부족한 기술적인 부분들, 회사에서 해온 것들에 대한 보충 (깊게 파악하기) 등을 해야하고, 이력서와 포폴도 만들어야 되는데 이것들이 너무 나도 벅차게 느껴집니다 (어느 정도 개발에 맘이 떴습니다...). 이직 성공에 얼마만큼의 기간이 필요한지도 가늠이 안되고..... ""그래도 해야지 해야지"" 하면서 마음을 잡아보지만, 동기가 강력하지 않아서 늘어진게 벌써 몇 개월이 되어서 이러지도 저러지도 못하는 상황입니다. 이력서도 완성을 못했습니다.... 한 가지 마음으로 올인해도 힘들 판국에 갈팡질팡으로 계속 시간만 보내는 것 같아서 용기를 내서 선배님들에게 여쭤보고 싶어서 글을 작성합니다. 제 질문은 이렇습니다. ""선택은 제가 하는 것이지만, 저랑 비슷한 경험을 한 선배님이나, 인생 선배로서의 조언이 필요합니다... 이런 상황에서 제가 어떻게 하는 게 좋다고 생각이 드시는지 궁금합니다. 어떤 조언이라도 정말 감사할 것 같습니다"" 감사드립니다."
4,이직,[백엔드 개발자] 계약직vs취직 준비 고민입니다.,"현재 보안관련 중소기업에서 3개월 인턴이 끝나는 시점에 놓여진 백엔드 개발자입니다. 3개월동안 홈페이지 제작(Q&A 기능 및 기본적인 홈페이지 CRUD), 보안 모듈 포팅 작업, 크롤링 기능 추가 및 서버 구축과 같은 업무를 하였습니다. 인턴이 끝나는 시점에 정규직이 아닌 계약직 권유를 받았는데요. 찾아보니 중소기업은 계약직과 정규직이 큰 차이가 없다는 얘기가 있기도 하고, 커리어적으로 이 회사를 좀 더 다니면서 이직 준비를 천천히 하는 것이 맞을까 아니면 인턴 끝나고 바로 취직 준비를 하는 것이 맞을까하는 고민이 생겼습니다. 만약 계약직 근무를 하게 된다면 프로젝트는 최소 2개정도 진행할 것 같고(현재 맡은 프로젝트가 2개입니다), 1개에선 단순 보안모듈 포팅 작업, 1개는 어플리케이션의 메인 백엔드 개발자로 들어갈 것 같습니다. 1년간 계약직으로 일하는 것이 커리어적으로 도움이 될까요? 아니면 인턴 끝나고 바로 취직준비를 들어가야할까요?"
5,이직,이직에 대해서 질문이 있습니다.,"데이터 분석(ML,DL 엔지니어, 데이터 엔지니어, 데이터 분석가) 분야에 관심이 있으나 현재 직장에서는 전혀 다른 업무를 하고 있어 1-2년 내 이직을 고려하고 있습니다. 저는 대학교(산업경영공학부) 학부연구실에서 산업인공지능, 데이터 마이닝을 공부했고 데이콘 경진대회를 통해서 알고리즘 개발 경험을 쌓았습니다. 그리고 경진대회에서는 시각인공지능을 주력으로 3차례 수상을 한 적이 있습니다. 졸업과 동시에 취업을 해서 현재는 데이터 분석(시각화)쪽의 Tableau도 공부를 하고 있는 상황입니다. (그만큼 이 분야에 대한 관심과 애정이 많습니다.) (왜 당장 이직을 하지 않고 ??)1-2년 내로 이직을 고려하는 이유는 저희 회사가 현재 ERP를 변경하는 중이며 향후 데이터를 사용한 신규 사업발굴등이 향후 계획에 있기 때문입니다. 이 계획에 제가 참여해 주도할 수 있는 기회가 있다면 남을 예정이고 그렇지 않다면 이직을 할 예정입니다. 궁금한 점은 1) 이 상황에서 이직을 고려하는 기간이 1-2년이 타당한 것인지? 2) 이직을 하기 위해서 준비를 해야 하는 부분은 어떤게 있는지? - ML/DL 엔지니어와 데이터 Analystics 각각 궁금합니다. 3) 이직을 한다면 서울과 경기도권으로 이직을 생각중입니다. 대학원이라는 선택지는 어떻게 생각하지는지 궁금합니다. (확인을 원하신다면 제 포트폴리오를 보내드릴 수 있습니다.) 커리어리에서 많은 조언을 구할 수 있기를 바랍니다. 감사합니다."
6,이직,"어설픈 딥러닝 엔지니어, 백엔드 신입으로 전환하고자 합니다.","안녕하세요. 모두 새해 잘 시작하고 계시길 바랍니다. 저도 새해를 잘 시작하고싶어 조언을 부탁드립니다. 저는 현재 4년차 딥러닝 엔지니어로 근무중이며 백엔드(신입)로 직무 변경을 생각하고 있습니다. 현재 재직 기업에서 제가 원하는 업무를 맡지 못했고 앞으로도 그럴 것 같아 내년에는 이직을 꿈꾸고 있습니다. 저는.. 이미 마음을 먹었지만 조금은 마음이 싱숭생숭해서.. 제 상황과 결정에 대해 어떻게 생각하시는지 말씀 부탁드리고자 합니다. * 현재 직무를 떠나려는 이유 0. 실속없는 경력 - 몇 년정도 이력서에 쓸 수 있는 딥러닝 업무, 개발 업무를 맡지 못했습니다. B2C가 아니며 일반적인 웹 서비스를 제작하는 기업이 아닌지라 개발 외적인 업무가 많고 동료들도 비슷한 상태입니다. 1. 실력 부족 - AI 석박사들과 견줄만한 개발자가 아닙니다. 흔한 인공지능 부트캠프를 졸업한 수준이라고 생각합니다. 간간히 해본 캐글은 은메달 2개 상태입니다. 주어진 문제를 분석하고 나은 방법을 찾기보다는 '이렇게 하면 더 잘 되겠지'라는 상상력으로 문제를 풀어보는 형식입니다. 학습은 바텀업으로 하려다보니 수학에서 번번히 지구력없이 질질 끌어버렸고.. 제자리입니다. 2. AI에 대한 흥미 저하 실력이 없다보니 점점 AI의 발전 속도를 따라가기 힘들고, 캐글 등에서 컴패티션을 하면 즐겁기는 하지만 가진 컴퓨팅 자원의 차이가 굉장히 커보이니 점차 흥미가 떨어집니다. >> 올 한해 열심히 공부한다고해서 프로젝트 경력없이 캐글 은메달만으로 AI 석박사들과 경쟁이 가능할만한 성과를 이루기에는 제 능력이 부족하다는 판단이 들었습니다. * 왜 백엔드를 0. 데이터 엔지니어, MLOps를 지망합니다. AI에 흥미가 떨어져도 여전히 재미있기에 그 주변을 멤돌고 싶어 조금 다른 방향으로 진로를 생각하고 있었습니다. 백엔드를 전혀 모르면서 위 직무가 가능하리라 생각지않아 백엔드 개발자부터 시작하려 합니다. 1. 웹 서비스 개발자로 일해보고 싶습니다. 한정된 범위에서 한정된 유저만을 위한 제품 개발에 참여하다보니 많은 사람들이 사용하는 서비스, 더 큰 규모의 서비스 개발에 대한 동경이 생겼습니다. * 출근 전, 퇴근 후 공부하면서 다른 백엔드 구직자들과 경쟁이 가능하리라 생각하는지 0. 잘 모르겠어서 해보려합니다. 너무 무식한 생각이지만... 그래도 열심히 해보면 되지 않을까요? * 직무 변경시 0. 연봉 감소 신입으로 다시 시작하는 점, AI 직군에 비해 평균적인 급여가 적은 직군이라는 점, 취업 시장이 얼어붙은 점을 생각하면 연봉 감소는 굉장히 클 것으로 생각합니다. 현재 5천 조금 넘는 상태인데 1년 공부해서 들어가면 2천 중반 ~ 3천 초반정도가 되지 않을까 싶습니다. 1. 개발 업무 그래도 지금보다 즐겁게 일할 수 있지 않을까요. * 그래서 어떻게 출근 전, 퇴근 후 공부를 하고 있습니다. 자바 & 스프링을 공부할 계획이고 현재는 자바 언어부터 보는 상태입니다. 웹개발 부분은 패스트캠퍼스 등 강의를 들으면서 계획을 다듬을 예정입니다. 아직까지는 명확하게 1년 플랜을 짜지는 못했습니다. 여기까지 귀한 시간 할애해주셔서 감사합니다. 혹시 해주실 말씀이 있으시다면 댓글 부탁드립니다. 감사합니다."
7,이직,직무전환에 대한 현실적인 고민,"데이터엔지니어로 커리어를 더 쌓을 것인지, ux라이터에 도전해볼것인지 고민입니다. 현실적으로 해야하는 일이라고 생각이 드는 직무와 이상적으로 해보고 싶은 일이라고 생각이 드는 직무네요 3년째 데이터엔지니어 일을 하고 있지만 제가 원하는 방향의 업무는 할 수 없는 상황이라 이직 또는 퇴사하려고 합니다. 커리어를 유지해서 제가 하고 싶었던 데이터엔지니어 업무를 하는 회사로 이직을 할지 이왕 이렇게 된거 오래전부터 해보고 싶었던 ux라이터쪽으로 직무전환을 하기 위해 퇴사를 할지 고민입이다. 섣불리 선택하지 못하는 이유는 현실적인 문제인데요 우선 연봉이죠. 개발쪽에서 기획 또는 디자인쪽으로 직무전환을 한다면 최소 앞자리가 바뀔것 같아요. 낮은숫자로. 다음으로 경력입니다. 물론 물경력이라고 생각이 들지만 지금까지 해온 개발경력이 물거품일것 될것 같아요. 같은 IT업계인건 다행이지만요. 마지막으로 미래전망입니다. 개인적으로 아직까지 전문성은 데이터엔지니어가 크다고 생각이 듭니다. 앞으로 전망도 기대되는 분야라 섣불리 놓아주기 어렵네요. 사실 퇴사하고 준비하기 위한 공백은 두렵지 않은데 라이터를 선택 했음에도 지금처럼 또 다른 직무를 고민할까 싶어 확실함이 부족한 제가 조금 두렵기도 하네요 긴글 읽어주셔서 감사드리며 직무전환에 대한 현실적인 고민을 하는 저에게 많은 조언 부탁드립니다. 감사합니다."
8,이직,이직고민 기술부채등 고민입니다,"안녕하세요🥹 학원출신 비전공 전문대졸 곧 2년차 웹개발자 입니다~ 일도 별로 없고 사수도 없는 비개발회사 직장에서 개발팀에 재직중인데요 요즘 인격적으로도 , 커리어적으로도 걱정이 많습니다. 구글과 지피티를 사수삼아 일하다보니 어느정도 구조잡고 비즈니스 로직 작성하는등 간단하게만 할 줄 알지 학원수료한 이후로 달라진게 없습니다..ㅜ 또한 조용히 울고 사무실로 들어온적도 있을정도로 스트레스를 많이 받습니다. 일을 못해서 일때문에 혼난거면 괜찮은데..후... 그리하여 여러가지 사정으로 이직을 결심하게 됐습니다. 인격적으로 스트레스 덜 받는 곳 그리고 커리어 성장이 가능한곳으로 이직하고 싶어서 이직조건을 알아보고 있는데 제 기술부채가 너무 심하더라구요ㅜㅜㅜㅜㅜㅜ 제 물경력.. 실력으로는 신입으로 들어가야 할것 같은데 신입을 뽑는곳에 2년가까이 근무를 하고 입사하자니 회사입장에서는 사기란 생각이 들것 같고 경력직으로 지원하자니 회사에서 요구하는 2년차의 실력이 아니라..ㅜㅜㅜㅜㅜ 어떻게 하는게 좋을지 모르겠습니다. 포폴도 학원 수료이후 만든게 없어서 올해 상반기에 포폴을 준비해보려고 합니다. 지급 사용하는 기술은 springboot mybatis라면 이직을 위한 포폴에는 요즘 회사들이 요구하는바 jpa 기술을 익혀서 springboot msa 포폴을 만들어 보려고 합니다 우선 jpa는 김영한님 강의를 보려고 하는데 2년차 이상의 실력을 갖추려면 다른것은 어떤식으로 공부를 시작해야 할지도 잘 모르겠네요..!! 새벽이라 글이 횡설수설한 느낌인것 같네요ㅠㅠ 상반기엔 꼭 이직 성공하고 싶은데 조언과 강의를 추천해주신다면 감사하겠습니다."
9,이직,3년차에 PHP 버리고 JAVA 로 환승에 대해,"안녕하세요, 스타트업에서 3년차 풀스택으로 일 하고 있는 개발자입니다. 스타트업이라고 하기에는 좀 오래됐고 중소라기에는 규모가 상당히 작은 회사인데요, 규모가 작다 보니 할 수 있는 업무는 웹페이지 퍼블리싱, DB 데이터 관리, API 개발, 서버 프로그램 개발 등 자잘한 업무는 모두 보는 중입니다. 주로 아래 업무로 진행 중에 있습니다. - php, javascript, jquery, nginx 사용하는 웹앱 서비스에서 웹 페이지 부 개발과 API 개발 - nodejs 를 이용하여 라즈베리파이 DB 세팅 프로그램, ICT 장비에서 데이터 넘어오는 데이터 파싱하여 DB 저장 - nodejs 활용하여 라즈베리파이에서 서버에 웹소켓 연결 - php, javascript 이용하여 웹앱에서 서버 웹소켓 연결 => 웹소켓을 통한 명령 전달 및 이벤트 처리 아무래도 작은 규모 회사다 보니 연봉이 적은 편이긴 하나 그동안은 함께 일하던 동기나 사수가 있어 버티며 경력이라도 쌓자 하는 생각이 였습니다. 그러나 3년 정도 경력이 쌓이고 보니 php 는 한계가 있음을 느끼고 있고 nodejs 만으로는 취업이 어려울 듯하여 java 로 갈아타야하나 생각 중에 있었고, 회사에서는 점점 반복된 업무에 촉박한 일정에, 점차 인세티브가 적어지고 연봉이 적게 오르고 회사 어렵다는 말을 되풀이 하여 이직을 마음 먹게 되었습니다. 이직에 관해 알아보고 계획을 세우던 중 급작스럽게 그동안 버팀목이던 팀장님의 퇴사로 이직에 대한 마음이 너무 급해져서 조언을 구하고자 질문을 올려봅니다...! [질문 사항] 1. PHP, nodejs 가 주 언어 였는데 java 로 바꿔서 가는 것이 맞는지, 만약 java 로 간다면 경력으로 지원을 해야할지 신입으로 들어가야 할지 2. java 에 대해 학교에서 배운 이후로 시도 해 본적이 없는데 어떻게 공부를 시작해야 할지, 회사를 퇴사 후 부트캠프나 강의를 들으면서 공부해서 취업하는 것에 대한 생각 (약 4~6개월 정도 공백 예상하고 있습니다.) 3. 이직 시에는 개인 프로젝트를 만들어서 이직을 하는 건지, 전에 회사에서 했던 업무를 소개하는 식으로 업무 경력서? 를 준비해서 지원을 하는 건지 (이직 준비에 관한 조언 부탁드립니다.) 4. 이건 개인적인 고민인데 제가 나가고 나면 이제 1년 정도 된 후임 개발자 한분만 남는데 이직을 하는 시기가 너무 고민이 됩니다. 마음이 심란하고 지쳐 당장이라도 퇴사하고 싶은 데 마음이 걸리고 미안해져서 퇴사를 망설이고 이참에 공부해서 이직을 하는게 맞는 건지 고민 중에 있습니다. 이직, 언어 변경에 관하면 어떤 조언이라도 부탁드립니다. 감사합니다."
