,subject,title,content
0,인공지능,인공지능 개발자가 되기 위해 무엇을 공부하면 좋을까요?,"4년제 대학 인공지능 관련 학과에 재학중인 학부생입니다. 재수 1년하고 군복학까지 해서 현재 24살에 2학년 재학중입니다. 저는 프로그래밍에 대한 관심이 전혀 없이 이 학과를 선택하게 되었고, 입학하던 해는 코로나로 인해 모든 수업이 전면 비대면으로 진행되었었습니다. 전공 수업에 크게 관심을 가지지 못했고 결국 1학년 평균 3점 중반대의 학점으로 수학, 프로그래밍 등 거의 모든 수업을 겉핡기 식으로 배우고 입대를 하였습니다. 입대 전, 전역 후 복학하기 전 많은 시간들이 있었지만 저는 자기개발에 시간을 쏟지 않았습니다. 너무나도 후회되는 시간들이었습니다. 복학 후 학교에 와서 같은 학과의 사람들을 만나고 나니(많은 사람들을 만나지는 않았지만) 무언가 하나씩 따로 공부하던게 있었습니다. 스프링을 공부하는 사람, ios 앱개발을 공부 하는 사람 등 다들 무언가 하나씩은 내세울 게 있었습니다. 근데 저는 뭐 하나 내세울게 없었습니다. 전공을 살려 인공지능쪽으로 진로를 정하고 싶다는 단순한 생각과 어떤 다른 것을 시작해볼 시도도 하지 않았다는 저의 게으름때문에 프론트엔드든 백엔드든 지금까지 경험이 없었는데 다른 공부까지 하며 성장하고 있는 사람들을 만나고 나니 아무것도 하지 않은 제가 많이 뒤쳐져있다는 것을 느꼈습니다. 그동안 공부를 하지 않고 복학해서 그런지 자료구조와 같은 전공수업을 들을 때도 예시 코드들이 바로바로 와닿지가 않고, 선형대수와 같은 수학에도 어려움을 느끼고 있습니다. 복학하고 위기감을 느껴서 공부를 더 해야겠다는 생각이 들었지만 현재까지는 수업 내용도 어려워서 복습하고 예습하는데에 거의 모든 시간을 투자하고 있는 상태입니다. 그나마 시간이 좀 있을때 백준 단계별 풀어보기정도만 하고 있습니다. 요즘 생각이 많아 너무 두서없이 제 얘기를 풀어 놓았는데 죄송하고 다 읽어주셔서 감사합니다. 제가 알고싶은 건 인공지능 쪽으로 진로를 나아가기 위해 무엇을 따로 공부하면 좋을지 입니다. 현재 학술 동아리나 스터디에 가입을 하고 싶어도 뭐 하나 내세울 것이 없어서 신청도 하기 힘들 정도로 자신감이 많이 떨어진 상태인데 어떤 한 분야에 대해서 진득하게 공부를 열심히 해서 제 전공에 대한 스스로의 확신을 얻고 싶습니다. 현재로서는 무엇을 공부해야할지 몰라서 평소 관심이 없었지만 남들 많이 공부하는 백엔드나 프론트엔드 공부를 나도 시작하는게 맞나 생각도 들고 너무 막막합니다. 전공 수업도 열심히 따라가려고 노력중이지만, 개인적으로 인공지능 개발자가 되기 위해 어떤 공부를 하면 좋을까요? 긴 글 읽어주셔서 감사합니다."
1,인공지능,데이터분석 개발자 로드맵이 궁급합니다.,"안녕하세요 현재 웹/앱 서비스 기획자 3년차입니다. 학부생때 컴퓨터공학과에서 인공지능을 학부연구생까지 하며 공부하다가 개인 사정으로 학업을 지속하지 못하고, 인공지능을 하기엔 늦었다는 어린 생각으로 기획으로 일을 시작해서 3년차가 되었습니다. 그럼에도 불구하고 데이터분석, 개발의 일이 하고싶다는 생각에 데이터분석 관련 자격증도 따기 시작하고, 더 늦기전에 공부를 알아보고 있습니다. 제가 C,Python을 주로 했었고 자바는 공부해보지 못했습니다만, 주변에서 기획자 경험이 있으니, 자바로 풀스택을 공부하고 개발자를 시작하고 DB까지 제대로 공부한 후에 자바로 인공지능 파이프라인을 잡아서 이직하는것이 좋다라는 분(인공지능 파트 일은 안해보신 풀스택 개발자)과, 파이썬으로 ADP 자격증을 4년안에 따는것을 목표로 공부해라는 분(인공지능 박사학위-실무경험은 없으심)이 나뉘더라구요. 최종 목표는 재택근무로 일하는 개발자가 목표이고, 데이터나 인공지능 관련으로 가고싶습니다. 당장 회사를 그만 둘 수는 없는 사정이라, 인터넷 강의를 중심으로 듣게 되겠지만 꾸준히 할 자신은 있습니다. 그랬을때의 로드맵을 어떻게 짜야할지가 막막하네요. 어떤 방법으로 공부하는게 좋을지 현직자 분들의 의견을 여쭙고싶습니다."
2,인공지능,코딩테스트 언어 고민,"현재 컴공과 4학년 학생입니다. 아직 어느 분야로 갈지 특정하지 못해 뒤늦게 이것저것 해보는 중입니다. 현재로서는 백엔드와 인공지능 중에 고민 중인 상태입니다. 백엔드는 자바와 스프링 공부하고 있으며(프로젝트 경험은 아직 없습니다😭), 인공지능쪽은 관련 경험 전무하며 다음 학기에 인공지능 프로젝트로 처음 시도해보기로 했습니다.. 우선은 백엔드 분야가 조금 더 보편적(?)이니 이와 맞춰서 코딩테스트도 같이 공부하려고 하는데요,, 코딩 테스트 언어를 뭘로 결정해야 할지 고민입니다. 원래는 대부분 코테 언어로 파이썬을 하는 것 같아 저도 파이썬을 하려고 했는데, 주변에서 요즘 백엔드 직무 코테에서 파이썬 사용을 금지하는 곳도 있다는 얘기를 듣게 됐습니다..ㅜㅜ 사실 제가 원하는 방향을 정한다면 모든 게 다 쉽게 결정되겠지만 아직 두 분야 모두 염두에 두고 있는 상태라서 고민입니다ㅠㅠ 코테 언어를 자바로 하냐 아니면 파이썬으로 하냐 인데, 자바로 할 경우 장점은 어차피 백엔드에서 쓴다는 것과 코테에서 금지 당할 일 없다는 점, 단점은 어렵다 ...? 대부분 파이썬을 택하는 데는 이유가 있지 않을까 합니다,, 그리고 스프링 공부를 하고 있긴 하지만 모순적이게도 아직 자바에 자신이 없습니다ㅠㅠ 솔직히 자바 싫어요🥹 스프링이 백엔드 메이저인 것 같아 하고 있긴 하지만요... 제가 아직 못해서 싫어하는 것 같기도 하구요... 파이썬으로 할 경우 장점은 자바에 비해 쉽다는 점과, 인공지능 분야로 가게 될 경우 파이썬을 조금이라도 해보는 것이 도움될 것 같다는 점 정도 입니다. 그리고 자바에 비해서 거부감이 없어요ㅎㅎ.... 단점은 코테에서 금지당할 수도 있다는 점??.. 글이 너무 두서 없이 길어져서 질문만 정리해보자면,, 1. 코테 언어 고민 (자바 vs 파이썬) 2. 요즘 코테에서 파이썬을 금지하는 곳이 많나요? 혹시 있다면 어떤 기업이 있는지, 점점 더 파이썬을 금지하는 회사가 많아지는 추세인지 궁금합니다!!.. 3. 인공지능 분야도 취업 시 코테가 필요한가요? 인공지능 분야는 한번도 접해본 적이 없어 아직 관련 지식이 부족합니다ㅠㅠ 글이 너무 길어졌는데 읽어주셔서 감사합니다!!ㅜㅜ"
3,인공지능,인하대 인공지능 vs 서울과기대 인공지능,"안녕하세요 :) 현재 컴퓨터공학과를 재학하고 있고 올해 위 두 학교 중 하나로 편입을 하려고 합니다. 어느 학교로 진학할지 고민이 되어 질문 드립니다. (저는 ai,머신러닝,데이터분석 관련 일을 하고 싶습니다. 따라서 석사 이상까지 염두하고 있습니다.) <인하대 인공지능 공학과> -학부 교육 과정: 조금 더 컴공에 가까운 커리큘럼 자료구조, 알고리즘, 운영체제, 데이터베이스, 컴퓨터 구조, 컴퓨터 네트워크, 오픈소스 sw등 cs과목 + 머신러닝, 딥러닝, 통계, 강화학습, 자연어처리, 컴퓨터비전등 ai 관련 과목 -대학원: 과기정통부 인공지능 대학원 선정(~2026 or more) <과기대 인공지능 응용학과> -학부 교육 과정: 컴공과목이 조금 적고 인공지능 과목이 더 많음 자료구조, 알고리즘 ,운영체제, 컴퓨터 구조, 시스템 프로그래밍, 웹 프로그래밍, 컴퓨터 보안, 컴파일러 등 cs과목 + 머신러닝, 딥러닝, 통계, 데이터 사이언스, 강화학습, 자연어처리, 컴퓨터비전등 ai관련과목 -대학원: 데이터사이언스 대학원 BK21선정, 박사까지 전액 장학금 ----------------------------------------------------------------------------------------- 어느 학교에 진학하는 것이 더 좋을까요? ----------------------------------------------------------------------------------------- + ai쪽이 너무 취업하기 어렵고 전망이 없다면 백엔드 개발자 취업을 준비할 생각도 있습니다. 의견 남겨 주시면 정말 큰 도움이 될 것 같습니다.!!"
4,인공지능,현재 컴퓨터공학부에 재학중인 학생입니다. 저의 고민에 대해 조언을 얻고 싶습니다!,"안녕하세요! 저는 현재 3학년 1학기로 컴퓨터공학과에 엇학기 재학중인 학생입니다. 현재 상황에 대해 간단하게 말씀드리겠습니다! 1. 1학기에 AI 부트캠프를 수료하면서 엇학기로 복학하게 되었고, 내년에 졸업프로젝트를 하지 않으면 1년을 기다린 뒤 내후년에 졸업프로젝트를 해야하는 상황입니다. 2. 보충역 판정을 받은 상태입니다. IT 쪽은 산업기능요원에 지원할 수 있다면 해보는 것을 추천한다는 말을 주변에서 꽤 들었기 때문에 졸업 후에 IT산업기능요원을 지원할 생각입니다. 3. 2학년을 마치고 AI 부트캠프를 수료해서 AI 쪽으로 좀 더 파고들어야겠다는 생각은 있지만 이전부터 백엔드 개발을 접해보고 싶었기 때문에 쉽게 진로를 결정하지 못하는 상황입니다. 4. 부트캠프 수료 이후에 AI 업계 쪽으로 산업기능요원을 지원했지만 실패하고 다시 복학하였습니다. 위의 상황을 바탕으로 제가 고민 중인 것은 크게 두 가지인데요 1. 내년에 졸업프로젝트를 하지 않고, 2학기에 휴학을 하면서 인턴, 팀프로젝트 등을 통해 백엔드 개발을 경험해본다. -> 이 경우에 27살 3월에 졸업을 하게 됩니다. 이 선택을 할 경우 백엔드와 AI 중 더 흥미가 높았던 분야를 선택해서 졸업프로젝트에서 역할을 정할 것 같습니다. 2. 내년에 졸업프로젝트를 진행하고 한 학기를 더 다닌 뒤 졸업한다. -> 이 경우에는 26살 7월에 졸업하게 됩니다. 이 선택을 할 경우 졸업프로젝트를 AI 관련 역할을 담당해서 진행하려고 합니다. 제가 위와 같은 고민을 하게 된 이유는 다음과 같습니다. 1. 무언가에 쫓기듯이 살고있는 것이 아닌가라는 생각 때문에 잠시 쉬어가는 시간이 필요하다는 생각이 들곤 합니다. -> 삼수를 하여 남들보다 늦었다는 생각으로 인해 1, 2학년 때 놀기보다는 공부를 택했던 것 같습니다. 2. 내가 하고 싶었던 것에 대해 경험도 못해보고 포기하는 것을 아쉬워하는 경향이 있습니다. -> 인공지능 부트캠프를 했던 이유가 이것인데요. 전공수업에는 인공지능 관련 수업이 거의 없다보니 직접 인공지능 개발을 경험해보고자 부트캠프를 했었습니다. 백엔드 개발도 이와 비슷하게 경험해보면 좋겠지만 지금은 시간적 여유가 많지 않다는 생각이 들었습니다. 3. 인공지능 분야에 대해 재미가 느껴져서 쉽게 포기하기가 힘든 것 같습니다. 4. 현재 가장 주된 목표는 산업기능요원이지만 AI쪽은 지원할 수 있는 회사가 많지 않다는 것을 직접 경험해보니 더욱 고민이 많아지는 상황입니다. 제 고민과 관련해서 여러분들에게 조언을 구하고자 글을 써보았습니다! 최대한 고민하면서 글을 써보았는데 너무 두서없이 장황하게 쓴 것 같아서 죄송합니다."
5,인공지능,커리어 전환 : 인공지능->백엔드,"안녕하세요. 인공지능 직무에서 6개월정도 근무하다, 회사의 임금체불 문제로 퇴사를 결심하게된 신입입니다. 다시 취준생으로 돌아오면서 인공지능 직무를 계속 가져가야하는지 고민입니다. 인공지능은 유망하다며 주목받고있지만 아직 인공지능을 이용해서 매출을 보이는 서비스가 출시되기는 이른 시점이고, 어느정도 괜찮은 회사에서 인공지능 직무를 계속 이어나가기 위해서는 대학원 진학이 필수라고 생각이 듭니다. 하지만 2년간 대학원에서 공부한다고 해도 취업이 확정된 것도 아니고, 겨우 지원자격을 갖추는 것 뿐이라 고민이됩니다. 백엔드나 다른 개발 지식이 아예 없는 것이 아니기 때문에, 준비기간을 가지고 공부해서 직무전환을 할까 생각중입니다. 정말 인공지능이 유망하고, 2년의 기회비용을 쓸 만큼 가치있는 분야일까요?"
6,인공지능,대학교 졸업생 취준 & 대학원 진학 중 고민입니다.,"안녕하세요, 이번 달에 대학교 졸업한 취준생입니다. 인공지능 분야로 취업을 하고 싶어 대학교에서 전공 수업으로 주로 인공지능 분야를 들었습니다. 하지만 지방대이다보니 겉핥기식으로 배우는 수업이 많았고, 이를 이용해서 취업하기에는 무리 같아 대기업에서 6개월 인턴을 진행했습니다. 인턴을 하면서 주로 cv모델 개발을 했고 가끔씩 자동화 소프트웨어 및 웹도 개발했습니다. 원래는 대학원 진학을 목표로 하고 있었지만 인턴을 하면서 ""ai 엔지니어의 경우 꼭 대학원 진학을 할 필요가 있을까?""라는 생각이 들어 23년 하반기부터 취준을 시작했는데요, 현재는 ai 엔지니어가 되고 싶지만 그외에 sw개발, 임베디드 분야 등 해보고 싶은 분야가 많아서 고민입니다. 일단 현재 목표는 Ai 엔지니어이기 때문에 다른 분야로 오는 포지션 제안은 거절하고 중견에서 오는 제안은 면접을 보고 있는데, 면접 분위기가 좋고 답변을 잘 해도 간절함이 안보여서 그런지 합격은 못하고 있습니다. 해당 분야와 인공지능과 고민하고 있는 것이 겉으로 드러나는 것 같습니다. 선배님들께 여쭤보고 싶은 것이 몇가지 있습니다. 1. 인공지능 분야가 아닌 sw개발과 같은 다른 분야여도 일단 경력을 쌓는게 좋을까요? 2. 아무리 요즘 적어졌다 해도 한국에서는 아직도 학벌이 중요한 것 같습니다. 인공지능 분야를 더 깊게 연구하고 지방대라는 학벌 세탁하기 위해 대학원 진학을 다시 고려해야 할까요?"
7,인공지능,"어설픈 딥러닝 엔지니어, 백엔드 신입으로 전환하고자 합니다.","안녕하세요. 모두 새해 잘 시작하고 계시길 바랍니다. 저도 새해를 잘 시작하고싶어 조언을 부탁드립니다. 저는 현재 4년차 딥러닝 엔지니어로 근무중이며 백엔드(신입)로 직무 변경을 생각하고 있습니다. 현재 재직 기업에서 제가 원하는 업무를 맡지 못했고 앞으로도 그럴 것 같아 내년에는 이직을 꿈꾸고 있습니다. 저는.. 이미 마음을 먹었지만 조금은 마음이 싱숭생숭해서.. 제 상황과 결정에 대해 어떻게 생각하시는지 말씀 부탁드리고자 합니다. * 현재 직무를 떠나려는 이유 0. 실속없는 경력 - 몇 년정도 이력서에 쓸 수 있는 딥러닝 업무, 개발 업무를 맡지 못했습니다. B2C가 아니며 일반적인 웹 서비스를 제작하는 기업이 아닌지라 개발 외적인 업무가 많고 동료들도 비슷한 상태입니다. 1. 실력 부족 - AI 석박사들과 견줄만한 개발자가 아닙니다. 흔한 인공지능 부트캠프를 졸업한 수준이라고 생각합니다. 간간히 해본 캐글은 은메달 2개 상태입니다. 주어진 문제를 분석하고 나은 방법을 찾기보다는 '이렇게 하면 더 잘 되겠지'라는 상상력으로 문제를 풀어보는 형식입니다. 학습은 바텀업으로 하려다보니 수학에서 번번히 지구력없이 질질 끌어버렸고.. 제자리입니다. 2. AI에 대한 흥미 저하 실력이 없다보니 점점 AI의 발전 속도를 따라가기 힘들고, 캐글 등에서 컴패티션을 하면 즐겁기는 하지만 가진 컴퓨팅 자원의 차이가 굉장히 커보이니 점차 흥미가 떨어집니다. >> 올 한해 열심히 공부한다고해서 프로젝트 경력없이 캐글 은메달만으로 AI 석박사들과 경쟁이 가능할만한 성과를 이루기에는 제 능력이 부족하다는 판단이 들었습니다. * 왜 백엔드를 0. 데이터 엔지니어, MLOps를 지망합니다. AI에 흥미가 떨어져도 여전히 재미있기에 그 주변을 멤돌고 싶어 조금 다른 방향으로 진로를 생각하고 있었습니다. 백엔드를 전혀 모르면서 위 직무가 가능하리라 생각지않아 백엔드 개발자부터 시작하려 합니다. 1. 웹 서비스 개발자로 일해보고 싶습니다. 한정된 범위에서 한정된 유저만을 위한 제품 개발에 참여하다보니 많은 사람들이 사용하는 서비스, 더 큰 규모의 서비스 개발에 대한 동경이 생겼습니다. * 출근 전, 퇴근 후 공부하면서 다른 백엔드 구직자들과 경쟁이 가능하리라 생각하는지 0. 잘 모르겠어서 해보려합니다. 너무 무식한 생각이지만... 그래도 열심히 해보면 되지 않을까요? * 직무 변경시 0. 연봉 감소 신입으로 다시 시작하는 점, AI 직군에 비해 평균적인 급여가 적은 직군이라는 점, 취업 시장이 얼어붙은 점을 생각하면 연봉 감소는 굉장히 클 것으로 생각합니다. 현재 5천 조금 넘는 상태인데 1년 공부해서 들어가면 2천 중반 ~ 3천 초반정도가 되지 않을까 싶습니다. 1. 개발 업무 그래도 지금보다 즐겁게 일할 수 있지 않을까요. * 그래서 어떻게 출근 전, 퇴근 후 공부를 하고 있습니다. 자바 & 스프링을 공부할 계획이고 현재는 자바 언어부터 보는 상태입니다. 웹개발 부분은 패스트캠퍼스 등 강의를 들으면서 계획을 다듬을 예정입니다. 아직까지는 명확하게 1년 플랜을 짜지는 못했습니다. 여기까지 귀한 시간 할애해주셔서 감사합니다. 혹시 해주실 말씀이 있으시다면 댓글 부탁드립니다. 감사합니다."
8,인공지능,신입 커리어 전환 고민,"안녕하세요! 저는 학부 복수전공으로 소프트웨어를 전공하고, 국비교육을 통해 인공지능을 공부하고 중소기업에서 6개월동안 인공지능 직무로 근무한 신입입니다! 회사사정이 어려워 퇴사를 결심하게 되었는데, 앞으로 진로를 어떻게 가져가야할 지 고민입니다. 인공지능을 택하게 된 계기는 미래기술로 주목받고 있기때문이었는데, 대부분 회사에서는 석사이상의 지원자를 받고있어서 장벽이 너무 높습니다. 대학원 생각이 없는건 아닌데 2년동안 대학원에서 공부하고 나온다고 해도 취업이 보장된 것도 아니고 겨우 지원할 수 있는 자격을 갖추는 것 뿐이라 고민이 됩니다. 다른 개발분야랑 다르게 학벌이 매우 중요하기도 하고요. 이러한 점들 때문에 백엔드나 클라우드쪽으로 직무 전환을 고민하고 있습니다. 백엔드는 아예 경험이 없지 않은데 파이썬으로 경험이 있어서 자바 스프링을 더 공부해야할 것 같습니다. 인공지능이 앞으로 개발자를 대체할 거라는 말도 많고, 점점 인공지능이 주목받는데 인공지능을 하지 않아도 충분히 괜찮은 커리어쌓아나갈 수 있을까요?"
9,인공지능,스프링 장고 연동,"안녕하세요! 졸업프로젝트때문에 궁금한점이 있어서 글을 남깁니다. 다름이 아니라 프로젝트에 인공지능을 사용할려고 하는데 파이썬이 더 효율적이어서 인공지능은 파이썬언어로 처리할려고 합니다. 하지만 서버는 스프링으로 만들건데 즉 자바에서 얻은 데이터를 파이썬에 갖다주고 그리고 인공지능으로 처리해서 온 데이터를 다시 파이썬에서 자바로 전달하게 하고 싶은데 어떤 방식으로 활용해야 될지 모르겠습니다. 구글링 해본결과 1. 자이썬 2. 쟝고 스프링 연동 대충 이2개로 추려지는데 2가지방법이 인공지능 처리부분에 있어서 가능한지 그리고 어느 방법이 더 효율적인지, 이 2가지방법 이외에 다른 좋은 방법이 있는지 궁금합니다. 긴글읽어주셔서 감사합니다"
