,subject,title,content
0,프론트엔드,프론트엔드와 백엔드 갈림길..,"안녕하세요. 저는 현재 4학년 2학기 재학중이고 프론트엔드를 공부하고 있는 대학생입니다. 제목을 보시면 제가 어떤 고민을 하고있는지 대략 짐작하실거라고 생각이 듭니다. 사실 전부 해야하는 것들이기에 이런 고민이 무의미하다 라는 말을 정말 많이 들었고 저도 하나만 할수는 없다고 생각을 합니다. 하지만 제가 생각 했을때는 일단 취업공고 자체가 프론트와 백으로 나뉘어져있기에 프론트든 백이든 하나만 일단 파고 그 분야로 취업을 해서 다른 분야를 공부해야겠다는 생각이 듭니다. 저는 파이썬 c 기본 문법 정도만 아는 학부생이였는데 3학년 2학기 끝난 겨울방학때 처음으로 end to end 개발에 참여해봤습니다. 거기서 프론트엔드로 참여를 했고, 생각보다 재미있어서 계속 이쪽으로 공부를 했던것 같습니다. 그 후로 4학년 1학기 끝나가는 지금까지 프로젝트를 2개 정도 추가로 진행했고, 모두 프론트엔드로 프로젝트를 진행했고, 진행중입니다. 하지만 취업을 위해 내가 프론트엔드를 하는게 맞는건가? 라는 질문에 대해 한순간도 명확했던 적이 없네요.. 뭔가 이런 질문에 명확히 답을 찾고 열심히 공부를 하고싶은데, 마음이 그게 안됩니다 ㅠㅠ 계속 조금씩 망설이게 됩니다. 제가 프로젝트로 백엔드를 해본건 아니지만, 일단 프론트엔드를 할때 재미있습니다. 퍼블리싱 하는 것도 재미있고, 기능 연동하고 데이터가 화면에 잘 뿌려지고 하면 뿌듯하고 재미있습니다. 하지만 데이터를 관리하고 기능을 구현하는 백엔드와 달리 프론트엔드는 화면을 잘 보여주고 최적화를 잘 하는 정도? 이잖아요. (제가 공부한지 얼마 되지 않아 무지한 발언 일 수도 있습니다. 죄송합니다.) 회사에 가서 자기 분야가 아닌 다른 분야를 해야하는 상황이 왔을때, 데이터나 로직을 만지는 백엔드가 확장성이 좋은가요?? 즉 훨씬 다른 일로 옮겨가기 수월하고 이직하기도 쉽나요? 데이터랑 로직을 어떠한 개발에서도 교집합이라는 느낌이라서 이 점이 굉장히 궁금합니다.. 백엔드는 이것저것 접근하기 쉬울거 같고 프론트엔드는 아무래도 좀 어렵나요..? 저도 요즘 너무 걱정이 많고 불안해서 여기저기 찾아보고 검색을 해보는데, 프론트엔드는 cs도 필요없고 운영체제 지식도 필요없고 , 전공자가 프론트 하는 건 진짜 웃긴 짓이다 이런 식으로 말하는 글을 봤거든요. 사실 이런 글들에 흔들리면 안되는건데, 또 흔들리는 이유가 개발자 취업 현황 유튜브를 보면 프론트엔드 취업하신 분들은 초봉 3000이 안넘는경우가 꽤 많고.. 백엔드는 그래도 초봉 3000은 넘는다는 점과 개발자를 준비하는 제 동기들 중 프론트엔드를 공부하는 사람은 진짜 너무너무 적다는 점 입니다. 제가 뭔가 남들과는 다른 길을 가는것 같다는 느낌과 불안감이 생기더라고요.. 하지만 이런 이유들로 백엔드로 넘어가보기에는 4학년 1학기가 다 끝난 지금 시간도 너무 없을뿐더러 여태 했던 프로젝트는 전부 프론트로 했는데, 짧은 시간에 백엔드로 또 프로젝트들을 진행해야한다는 점이 막막하기도 합니다. 자바스크립트로 공부하던 코테도 다시 공부를 해야하고요.. 솔직히 저는 프론트를 하고싶기는한데.. 위에서 나열한 이유들로 인해 내가 이걸로 취업 할 수 있을까? 하는 걱정과 불안이 너무 맴돌게 됩니다.. 그래서 현업자분들은 이런 제 생각에 어떤 식으로 생각하실지 궁금해서 이렇게 글을 올려봅니다 ㅠㅠ 제 주변에 이런 고민을 나눌 상급자 분이 안계셔서요.. 프론트를 계속 하게 된다면, 제가 아직 고도화는 못해봐서 여태 했던 프로젝트들에 고도화를 한번 진행해보고 백엔드 지식을 위해 node express로 간단한 crud 구현해보고 이런 경험들 토대로 이력서 써서 인턴부터 지원을 해볼 예정입니다.. 제가 아직 공부를 한지 얼마 안되서 잘 알지도 못한채 백엔드에 비해 프론트엔드를 좀 낮춰서 말한거 같은데, 현업자 분들에게 진지하게 조언을 받고싶어서 제 생각을 그냥 두서없이 적어봤습니다.. 프론트도 깊게 파면 팔 수록 신경 쓸 것도 많고 무척 어렵다는 것을 알고있습니다! 혹시 기분 나쁜 개발자 분이 계셨다면 죄송합니다.."
1,프론트엔드,중고신입 프론트엔드 개발자 풀스택 업무 및 연봉 관련,"안녕하세요, 우선 저의 경우 이전 회사에서 프론트엔드 개발자로만 9개월 정도 일했습니다. 그리고 현재 회사에서 React 프론트엔드 개발자로 지원하였지만 입사 후 부터 지금까지 풀스택 개발 업무를 하고 있고 연봉은 삼천 중반대 받고 있습니다. 프론트의 경우 React가 아닌 Vue를 사용하여 개발중이고, 백엔드부터 MySQL 쿼리를 직접 만드는 것까지 작업하고 있으며 실제 서버에 배포하는 업무까지.. 그냥 처음부터 끝까지 제가 다 한다고 보면 됩니다. 물론, 프론트엔드 개발자가 백엔드 업무에 지식이 있으면 좋다고 생각합니다. 그래서 공부하려고 했기도 하구요! 근데 저는 프론트엔드 개발을 할때가 재미있습니다. 그래서 백엔드는 어느 정도만 알고 프론트엔드 개발에만 집중을 하고 싶은데 현재 회사에서 업무를 할때 제가 백엔드만 담당해서 진행한 프로젝트도 있고, 항상 개발할때 거의 대부분 풀스택으로 합니다.. ( 가끔 php로 개발할때도 있음 ) 아무래도 풀스택으로 하다보니 작업 시간이 2배 이상 소요됩니다. 왜냐면 백엔드쪽 지식은 아예 없었기 때문입니다. 그런데 회사에서는 이부분을 고려해 일정 산정을 해주지 않습니다. 예로, Select Search 필터 기능(Select 리스트에 조건들이 많이 있었음)을 프론트, 백엔드 모두 구현해야 한다고 했을때 저의 경우 백엔드쪽은 처음 작업하다 보니 늦어도 내일까지는 작업을 완료하겠다고 했습니다. (이때가 오후 2시~3시?쯤 이었던 것 같음) 참고로 이때가 입사한지 한달 좀 넘었을 시기였습니다. 그런데 해당 업무를 지시한 분께서는 ‘왜 이렇게 오래 걸리냐! 엄청 쉽잖아~ 본인은 1시간만에 개발하겠다. 늦에도 오늘까지해서 컨펌 받아라’ 라고 하시고 늘 업무를 주실때 마다 본인 기준으로 일정을 산정합니다. 물론, 이부분 관련해서 몇번이고 말씀드렸지만 달라지는건 없었습니다. 저는 개발을 정말 사랑하고 개발할때 재미있습니다. 그래서 일이라고 생각을 안 하고 즐기며 항상 작업을 했습니다. 그런데 어느 순간부터 작업을 할때 현타가 오고 개발을 하고 싶지 않을 때가 종종 있었습니다. ( react로 진행하는 사이드 프로젝트 제외 ) 타이트한 기간에 풀스택 업무까지.. 이 연봉을 받으면서 이렇게 일하는게 맞는건지도 모르겠습니다. 코드 리뷰도 없고, 제가 맞게 개발을 잘 하고 있는건지도 모르겠습니다. 그리고 개발을 할때 추후 발생할 수 있는 버그 및 성능 이슈등을 생각하면서 개발을 하는게 아닌 어떻게든 기한내에 프로젝트를 끝내야 한다는 생각에 기능이 동작하기만 하면 일단 넘어가는 식으로 개발을 진행하게 됐습니다.. 이런게 점점 쌓이다 보니 지금은 이직을 생각중이고, 이직할 곳도 찾고 있는 상황입니다. 이전 회사에서는 9개월 일했고( 회사 사정으로 인한 퇴사 ), 현 회사는 다닌지 지금 7개월이 다 되어 갑니다. 둘 다 1년을 못 채운 상태로 지금 이직을 하는게 맞는 걸까요…? 아니면 1년은 버텨야 하는건지.. 프론트 업무 외에 백엔드 업무를 할때 마다 스트레스를 너무 받습니다. 그러면서 연봉에 대한 불만이 생기고 이게 끝도 없습니다..ㅠㅠ 선배님들 현실적인 조언 부탁드림니다….."
2,프론트엔드,중소기업 프론트엔드 개발자로서 꼭 경험해봐야하는것과 향후 진로고민,"안녕하세요. 현재 중소기업에서 일한지 1년도 안된 프론트엔드 신입개발자입니다. 저의 간단한 소개를 하자면 인서울 상위대학 컴퓨터공학을 전공했습니다. 굳이 밝히는 이유는 고민과 관련이 있습니다. 여러가지 고민과 수많은 설명이 동반되면 좋겠지만 사설이 길어질거같아 궁금한점만 간단히 추려보았습니다. 1. 중소기업만의 가치 대기업이 아닌 중소기업에서만 경험할 수 있는것들이 무엇이 있을까요? 줄곧 인터넷에서 본바로는 프론트엔드로 뽑혀서 백엔드도 하게된다 이러는데 저희회사는 그정도로 체계가 없고 인력이 없는 회사가 아니라서 그런일은 없습니다. 규모가 작은 회사에서 프론트엔드 직무안에서 어떤걸 경험해봐야하고 경험하면 좋고 시도해볼수 있을까요? 2. 대기업으로의 취준 사실 이 회사에 인턴으로 들어왔고 지금은 직원으로 일하는중입니다. 앞서 밝힌 인서울 상위대학이라는 점은 주변친구들이 흔히 말하는 좋은기업에 많이들 취업했고 저도 역시 같이 기준이 높아졌습니다. 지금 이 회사도 돈으로는 부족하지 않지만 대기업에 취업하고싶다는 생각은 항상하고 있고 저와 비슷한 경험을 가지신분의 조언이 듣고싶습니다. 대기업에 가고싶은 이유는 더 높은 연봉과 체계적인 업무, 그리고 각종 개발 노하우등 무한한 성장을 느낄수 있을거라 생각합니다. 그래서 결국엔 대기업으로 간다는 설정하에 중소기업에서의 일을 짧게 끝내고 중고신입으로 들어가는게 좋은지 최소 1년은 지내면서 기업의 연간 사이클을 이해하고 경력삼아 경력직으로 들어가는게 좋은지 그 외 지금 취업시장이 안좋으니 일단 다니다가 이직한다든지 어떤 조언이든 부탁드립니다. 3. 프론트엔드 개발자로서 성장 원래 뭣도모르는놈이 다안다고 생각한다던데 이제 몇달동안 현업에서 일해보니까 처음에는 성장곡선이 가파르게 올라갔지만 이제는 어느정도의 성장이 더뎌진걸 느낍니다. 가장 큰 원인은 회사에서 진행하는 업무에 대해 이제는 더이상 어려움을 느끼지않는다는건데요 죽을때까지 공부해야하는 직업이 개발자라고 하지만 이제는 어떤걸 공부해야하고 어느방향으로 나가야할지 모르겠습니다. 오히려 기술이 발전될수록 개발자들을 더 편리하게 만들어주는 툴이 나오는거 같아서 깊이감은 툴로 해결한다면 더 다양한분야에 대해 알고 있어야하나 고민입니다. 그래서 최근에는 three.js를 배워볼까 생각도 있었고 백엔드도 배워볼까 생각중에 있습니다. 결코 백엔드를 가벼히 보는것이 아니고 프론트엔드를 마스터했다고 여기는것도 아닙니다. 단지 앞으로 발전할수록 다른 기술을 배워야 살아남을거같다는 위기의식을 느끼고 있습니다. 물론 프론트엔드를 우선적으로 제대로알아야겠지만 단지 프론트엔드쪽만 알아서는 괜찮을지 걱정입니다. 나중에 프론트엔드라는 직종이 없어지는건 아닌지. 굉장히 걱정이 많아서 횡설수설했습니다만 프론트엔드 개발자로서 어떤 방향성을 가지고 공부해나가면 좋을까요? 쓰다보니 길어졌네요. 제가 중소기업에 다닐 계획이 없었지만 높은 업무 자유도와 첫회사라는 애정, 배울점이 많은 사수등의 이유로 만족하면서는 다니고있습니다. 하지만 여기서 만족하고싶지않고 지금 일하고 있는 시간을 헛되이 버리지않고 더 성장하고 싶어 질문을 남깁니다. 긴글 읽어주셔서 감사합니다."
3,프론트엔드,프론트엔드 개발자의 미래가 궁금합니다..,"안녕하세요 저는 프론트 신입이고 일한지 7개월 돼가는 새싹개발자 입니다. 현재 저는 작은 스타트업에서 자체서비스 프론트업무 및 약간의 백엔드 작업을 하고 있습니다. 스타트업 국룰 스택 (프론트 react & 백 nest ) 로 개발하고있어요 ㅎㅎ 저희 회사에서는 제가 막내고 그 위로 4명의 개발자가 계십니다. 전부 백엔드로 커리어를 시작하셨고 프론트쪽도 능수능란하게 잘 하십니다. 근데 최근에 고민거리가 생겼습니다. 사수분들 왈 , 프론트는 미래가 없다. Ai가 가장 먼저 대체 될 것이다. 그리고 프론트는 기술적 한계가 크다. 기술적 고민이 있으면 그에 맞는 라이브러리 써서 해결하면 끝인거고, 고객 요구사항은 그때 반영해서 수정하면 끝이며 백에 비해 코드 유통기한도 짧아서 유지보수 고려안해도 된다 , 화면에 보여지는게 전부인 프론트는 기술적고민이라곤 성능 최적화가 전부이다. 라고 말씀하시면서 저에게 백엔드쪽으로 전향할 생각이 없냐며 조언을 하시더라구요. 근데 저는 그때 바보같이 사수분들의 말씀에 동조를 했고 그게 맞는거 같아서 받아들였습니다.. 하지만 집가서 다시 되새김질 해보니까 프론트가 진짜 그게 전부일까라는 의문점도 들고 그렇게 따지면 대기업에는 왜 프론트하고 백이 나눠져있으며 역할이 있을까?? 진짜 프론트엔드개발자로서의 기술적 고민은 저게 전부인가?? 라는 의문점이 들었고 괜시리 프론트가 주업무인 저는 뭔가 자존심도 상하고 기분이 썩 좋진 않더라고요.. 사실 저는 백엔드개발경험도 있지만 백보다는 아직 프론트가 무척 재밌고 최근에는 canvas나 threejs로 그래픽스 개발하는거에 흥미를 느끼고 있어서 솔직히 백쪽보다는 프론트를 전문적으로 할수있는 프론트개발자가 되고 싶은데 사수분들의 말씀들 덕분에 점점 흔들리더라고요.. 정말 사수분들 말씀을 듣고 백쪽으로 커리어를 돌려야 할지 의문입니다 ㅠㅠㅠ 여기 선배님들도 저희 회사 사수분들 말씀에 동의를 하시나요???"
4,프론트엔드,백엔드 개인 프로젝트 프론트엔드,"현재 휴학중인 대학교 2학년입니다. 군대 전역 후 2학기 복학 중 스프링과 JPA 기반으로 백엔드 개발자로 진로를 정했습니다. 현재는 김영한 강사님 강의를 들으며 실력을 키우고 있습니다. 강의를 듣는 중 김영한 강사님의 강의의 코드를 이용하여 생각나는 기능들 (좋아요 기능 등..) 들을 조금씩 추가하는 정도의 수준의 실력입니다. 이제 슬슬 개인 프로젝트를 본격적으로 해야할 것 같은데, 프론트엔드 처리가 막막합니다. 한번도 협업을 해본 적도 없고, 기회도 잘 없기도 합니다. 따라서 api는 대충 짤 순 있지만 그 api가 어떻게 프론트엔드에서 처리되는지, 프론트엔드에서는 api 응답을 어떻게 사용하고 어떤 응답이 좋은 응답인지가 실감되지 않습니다. 추가로 프론트적인 부분을 모르니 데이터베이스나 뒷단에서의 흐름은 알겠지만, 프론트적인 부분을 눈에 보이게 개발을 하기 매우 어렵습니다. 이 부분은 따로 프론트엔드 강의를 들어가며 개인 프로젝트를 진행해야 할까요..? 아니면 좀 더 좋은 방법이 있을까요? 정리하자면 프론트엔드의 실력과 정보가 전무해서 백엔드 기술을 다양하게 사용하고, 방향을 정하고, 발전 시킬 수 없는 거 같다. 프론트엔드 강의를 들어가며 개인 프로젝트에 이용해야 할까?"
5,프론트엔드,이력서에 첨삭할 진행했던 프로젝트들 내용을 보다 더 잘 적고 싶어요.,"이력서에 첨삭할 지금까지 진행했던 프로젝트들 내용을 적고 있는데 한눈에 보기 쉽게 큰 범주로 적기에는 너무 포괄적으로 적는것 같고 개발한 기능들을 세부적으로 적거나 해당 프로젝트 진행 후 낸 성과들을 다 나열하면 내용이 너무 길어지는것 같아서 어느정도로 구체화해서 적어야될지 헷갈려서 조언을 구해 봅니다. 아래는 지금 작성된 내용입니다. 현재는 프로젝트별로 포괄적으로 적거나 좀 더 디테일하게 적거나 기준점을 못찾은 상황입니다. [ 2022. 12 ~ 2022. 01 • 프로젝트 명 : 집 클릭 • 주요 설명 : 전세임대 지원 사이트로 권리분석을 의뢰할 수 있는 사이트 • 담당 업무 : 자사 서비스 웹 크롤링 기능 개발 -puppeteer 사용 등기부등본 발급 자동화 웹 크롤링 작업 • 기술 스택 : Node.js 2023. 06 ~ 2023. 07 • 프로젝트 명 : 브릭 인프라 • 주요 설명 : 자사 서비스 종합 관리 사이트 • 담당 업무 : 자사 어드민 프론트엔드 개발 • 기술 스택 : React 2023. 08 ~ 2024. 06 • 프로젝트 명 : 키오 솔루션 • 주요 설명 : QR 주문 결제로 보다 편리한 결제 시스템을 이용할 수 있는  솔루션 • 담당 업무 : 자사 솔루션 ""키오"" 활용 서비스 개발 및 운영 유지 보수 - 메뉴형 결제 서비스 ""키오브릭"" 프론트엔드 유지 보수 - 금액입력형 결제 서비스 ""스마트 노점"" 프론트엔드 개발 및 - 해당 서비스 관련 어드민 풀스택 유지 보수 - 자사 어드민 풀스택 유지 보수 • 기술 스택 : React, GraphQL, Node.js, MySQL 2023. 09 ~ 2024. 06 • 프로젝트 명 : 오늘 우리 가게 • 주요 설명 : 자영업자 대상 매출, 리뷰, 주문 현황, 광고 현황 분석 앱 • 담당 업무 : 자사 서비스 오늘 우리 가게 기능 개발 및 운영 유지 보수 - React Native 앱 메인 화면 개발 - 전체 React Native 앱 기반 프로젝트 WebView 기반 프로젝트로 전환 작업 진행 - 리뉴얼 된 WebView 구성 화면 프론트엔드 개발 - 우리 가게 리뷰 듣기 TTS 하이브리드 기능 개발 - 네이버 클라우드 이용 카카오 알림톡 서비스 벡앤드 유지 보수 - 앱 테스트 및 배포, CodePush 작업 진행 • 기술 스택 : React Native, MobX, React, Redux, TypeScript, Next.js, Node.js, MySQL 2023. 11 ~ 2024. 02 • 프로젝트 명 : 빌딩 CAS • 주요 설명 : 건물 내 입주사들을 위한 공지, 관리비 결제 및 장터 커뮤니티 기능을 제공하는 앱 • 담당 업무 : 외주 서비스 빌딩 CAS 프론트엔드 및 앱 개발 - WebView 기반 프로젝트 초기 환경 구축 및 아키텍처 설계 - React Native 앱 메인 화면 개발 - WebView 주요 기능 프론트엔드 개발(소셜로그인, 회원 정보 관리, 관리비 결제, 문의하기, 중고장터 게시판) - 앱 테스트 및 배포, CodePush 작업 진행 • 기술 스택 : React Native, React, MobX, Node.js, PostgreSQL *** 포트폴리오 링크를 통해 더 자세한 내용을 확인 하실 수 있습니다. ]"
6,프론트엔드,프론트엔드 개발관련하여 질문이 있습니다.,"안녕하세요 현재 저는 프론트엔드(React) 개발자로서 11개월 정도 근무하고 있고 근무(주로 회사에서 따온 외주를 1인 개발합니다)를 하면서 비슷한 패턴의 페이지만 개발(고도화 경험 없음) , 불친절한 디자인, 불친절한 API, 프론트단 개발이다 보니 디자이너, 대표와 자주 대치하여 스트레스 받음등으로 현타가 오며 스트레스를 받아 프론트엔드 개발을 그만해야 할지 고민이며 저는 프론트엔드 개발을 하며 하는 데이터관련 비즈니스 로직 구현을 좋아하고 재밌어하고, 적어도 프론트보단 다른 직종분들과 충돌이 적을거라 생각하며 등등 여러이유로 백엔드 개발자로 전향할지도 생각중입니다. 하지만 지금 첫회사를 다니고 있으며 경험이 적은 저로서는 이게 맞는 판단인지도 생각이 들고 다른 프론트엔드 개발자분들은 어떤식으로 업무를 하시는지 그리고 이와 관련하여 조언을 듣고싶어서 답답한 마음에 질문글을 작성합니다 1. 프론트엔드도 백엔드 분야와 같이 고도화, 복잡한, 어려운 비즈니스 로직 구현을 자주 할 수 있는지 1-1. 단순 반복(단순 페이지 구현) 업무가 많은지 2. 기획자, 디자이너와의 협업을 할때 2-1. 충돌점이 많은지 2-2. 스트레스 받을일이 많을지 2-3. 시간이 많이 뺏겨 개발에 온전히 집중하지 못할때가 많은지 2-4. 피드백을 많이 받는지 3. 조언 부탁드립니다 ㅠㅠ"
7,프론트엔드,프론트엔드 취준생의 고민을 들어주세요,"안녕하세요. 3개월간 프론트엔드 부트캠프 수료후 독학 + 사이드 프로젝트 진행하고 있는 27세 취준생입니다. 디자이너였기에 눈에 보이는 것과 사용자경험을 만드는 것이 흥미롭고 뿌듯함을 느꼈고 그래서 프론트엔드에 흥미가 생겨 커리어전환을 하기로 했었습니다. 백엔드 쪽도 흥미가 있어서 먼저 프론트로 공부 및 취업 후 백엔드도 차차 공부해나가려고 했어요. 다행히 전 공부하고 새로운 것을 익히는 것을 좋아하기에 개발자가 적성에 맞는다고 생각합니다. 후에 학점은행제나 방통대를 다니면서 컴공에 대해서 공부를 하려는 목표도 있습니다. 요즘 시장이 좋지 않아서, 특히 프론트엔드는 많이 힘들더라고요. 채용시장을 보니 일반 기업들은 백엔드 직군과 자바를 사용하는 개발자를 많이 뽑는 것 같더군요. 그래서 아예 자바 백엔드 교육을 국비로 듣고 그쪽으로 취업을 해야할까 하는 생각도 듭니다… 물론 프론트도 제대로 해보지 않은 상태에서 분야를 바꾸는 것이 좋지 않다고 생각하지만 향후를 생각하면 시간을 좀 투자하더라도 백엔드로 진입하는 것이 유리하지 않나 생각도 드네요… 공부할 의지는 있고 열심히 할 자신도 있습니다. 독학도 나태해지지 않고 꾸준히 이어나갈 자신도 있어요. 다만 지금 방향을 잡지 못하고 있는 상태라 막막한 상태입니다. 부트캠프 커리큘럼과 교육이 좋지 못했기에 국비를 신중히 알아보고는 있으나 찾다보면 어디가 좋은지 더 혼란스럽기만 하고, 나이가 있는지라 마음이 조급해지니 판단도 잘 서지 않습니다. ㅜㅜ 어떻게 하면 좋을지 조언이나 충고 해주시면 감사할 것 같습니다. 현재 배운 언어 : 자바스크립트 스텍 : react,typescript,nextjs, tailwind, styled-component,recoil, react-query"
8,프론트엔드,프론트엔드 공부 방향성에 대해,"안녕하세요! 저는 백엔드 부트캠프를 2023년 2월부터 참여하면서 팀 프로젝트에서 프론트쪽을 맡았었습니다. 백엔드과정이었지만 시간이 갈수록 프론트쪽이 너무 재밌고 즐거워서 늦었지만 이번달에 프론트로 전향했습니다. html,css는 2년전에 배웠어서 괜찮은데 자바스크립트는 독학으로 공부하고있고 2주정도 된 시점이라 이번주에 연습용으로 테트리스게임을 만들었습니다. 직접 모든 코드를 짠건 아니고 유튜브를 보면서 클론코딩을하고 그 후 코드스터디를 진행해 더 공부를 했습니다. 지금 제가 조금 막막한건.. 지금 제가 하는것처럼 클론 코딩으로라도 연습용 플젝을 하고 코드스터디하는게 괜찮은게 맞나? 싶습니다. 이론을 더 빠삭하게 공부해야하는데 내가 너무 섣불렀나 싶기도하고 그렇다해서 계속 이론만 잡고있는건 또 아닌것같고.. 어떻게 진행해야하는지 잘 모르겠습니다. 자바스크립트는 백엔드 과정때부터 이론 공부와 팀프로젝트때 백과 프론트 연결하는 정도(물론 클론..)로 배운 상태였습니다. 지금 제 계획은 몇번의 자바스크립트 프로젝트를 하고 그 후 리액트 공부 및 실습 을 진행하고싶습니다. 또 타입스크립트도 공부하고싶습니다. 지금 제가하고있는 클론 코딩도 나쁜 공부법이 아닐까요...? 선배님들의 당근과 채찍 잘 받아들이겠습니다! + cs지식도 공부하고싶은데 이건 언제쯤 공부하는게 좋을까요? 짬짬히 계속 하면 될까요?"
9,프론트엔드,"대학교 4학년에 프론트엔드로 전향, 괜찮을까요?","안녕하세요 현재 3학년 2학기까지 마치고 일단 1년 휴학 중인 4년제 소프트웨어학과 학생입니다. 한심하게 들리겠지만, 3년 동안 학교 수업 외에 준비해놓은 프로젝트나 공부가 아예 없었어요. 이대론 취업이 불가능할 것 같아 무작정 휴학부터 해놓은 상태입니다. 그동안 전공으로 데이터 분석 + 백앤드를 주로 배워 이쪽 길로 가야하는구나 생각했는데요. 아무리 생각해도 둘 다 저와 맞지 않는 분야인 것 같았습니다. 통계 쪽 수학을 정말 못하고, 서버 관리 같은 추상적인 백앤드 분야도 전혀 재미가 없었어요. 그런데 지난 학기 때 잠깐 배운 기초 웹프로그래밍 수업에서 내가 짠 코드가 바로바로 보이는 웹 프론트가 그나마 흥미가 생겼어서요. 물론 프론트도 html, css 기초적인 자바스크립트 배운게 다입니다. 이제와서 처음부터 프론트엔드 취업을 준비해도 괜찮은걸까요? 넘 늦었나요? 만약 바꾼다면 자바스크립트, 리액트 공부부터 시작하려는데 간단한 로드맵이라도 있을까요... 또, 프론트를 희망하는 친구들이 없어서 도움이나 프로젝트도 같이 할 수 없는 상황이라 어떻게 공부 및 포폴을 쌓아야 할지도 너무 막막해요. 주변 친구들은 4년 동안 백엔드 열심히 준비해 포폴 쌓아가는 중인데 저만 더 뒤쳐지지 않을까 해서요. 아무튼 결론은,, 학교 수업에서라도 깔짝여본 백엔드가 나을지, 처음부터 시작하는 프론트엔드를 도전해볼지 고민입니다. 어떤 답변이나 질책, 욕도 좋으니 조언 부탁드립니다ㅠㅠ"
